fileName_CODE,bookName_AR,bookName_DV,bookName_EN
AQD-nawaqidulIslam-test,نواقض الإسلام,އިސްލާމްކަން ގެއްލޭ ކަންކަން,Nawaqidul Islam
AQD-qawaidulArbau-test,‌‌القواعد الأربع,ހަތަރު ގަވާއިދު,Qawaidul Arbau
