sourceBook,sourceCol,displayDV,displayEN
QRN-DATA-juz_surah_ayahNo_basmalah_ayahImlai,0,ޖުޒް,Juz
QRN-DATA-juz_surah_ayahNo_basmalah_ayahImlai,1,ސޫރަތް,Surah
QRN-DATA-juz_surah_ayahNo_basmalah_ayahImlai,2,އާޔަތް #,Ayah #
QRN-DATA-juz_surah_ayahNo_basmalah_ayahImlai,3,ބިސްމި,Basmalah
QRN-DATA-juz_surah_ayahNo_basmalah_ayahImlai,4,އާޔަތް (ރަސްމު އިމްލާއީ),Ayah (Imlai Script)
QRN-DATA-ayahUthmani,0,އާޔަތް (ރަސްމު އުޘްމާނީ),Ayah (Uthmani Script)
QRN-hadithmv,0,ޙަދީޘްއެމްވީ ތަރުޖަމާ,Hadithmv Translation
QRN-bakurube,0,ބަކުރުބެ ލަފުޒީ ތަރުޖަމާ,Bakurube Word-by-Word
QRN-bakurube,1,ބަކުރުބެ ތަރުޖަމާ,Bakurube Translation
