bodyAR,bodyDV
وفي صحيح مسلم عن جندب بن عبد الله رضي الله عنه قال: سمعت رسول الله ﷺ قبل أن يموت بخمس وهو يقول:,އަދި ޞަޙީހު މުސްލިމްގައި، ޖުންދުބު ބްނު ޢަބްދި ﷲ رضي الله عنه ވިދާޅުވިކަމަށް ރިވާވެގެންވެއެވެ: ﷲ ގެ ރަސޫލާ ﷺ އަވަހާރަވުމުގެ ފަސް ދުވަހުގެ ކުރިން މިހެން ޙަދީޘްކުރައްވަނިކޮށް އަހަރެން އަޑުއެހީމެވެ:
«إِنِّي أَبْرَأُ إِلَى اللَّهِ أَنْ يَكُونَ لِي مِنْكُمْ خَلِيلٌ، فَإِنَّ اللَّهَ قَدِ اتَّخَذَنِي خَلِيلًا، كَمَا اتَّخَذَ إِبْرَاهِيمَ خَلِيلًا، وَلَوْ كُنْتُ مُتَّخِذًا مِنْ أُمَّتِي خَلِيلًا، لَاتَّخَذْتُ أَبَا بَكْرٍ خَلِيلًا، أَلَا وَإِنَّ مَنْ كَانَ قَبْلَكُمْ كَانُوا يَتَّخِذُونَ قُبُورَ أَنْبِيَائِهِمْ وَصَالِحِيهِمْ مَسَاجِدَ، أَلَا فَلَا تَتَّخِذُوا الْقُبُورَ مَسَاجِدَ، فَإِنِّي أَنْهَاكُمْ عَنْ ذَلِكَ».,“ހަމަކަށަވަރުން ތިޔަބައިމީހުންގެ ތެރެއިން ގާތްއެކުވެރި ޚަލީލެއް ތިމަންކަލޭގެފާނަށް ވުމުން ﷲ ޙަޟްރަތަށް ތިމަންކަލޭގެފާނު ބަރީއަވެވަޑައިގަންނަވަމެވެ. ފަހެ ﷲ ވަނީ ތިމަންކަލޭގެފާނު ގާތް ޚަލީލެއްގެ ގޮތުގައި ނަންގަވާފައިއެވެ. އެއީ އެކަލާނގެ އިބްރާހީމުފާނުގެ ގާތް އެކުވެރިއެއްކަމުގައި ނެންގެވި ގޮތަށެވެ. ތިމަންކަލޭގެފާނުގެ އުއްމަތުން ގާތްއެކުވެރި ޚަލީލެއް ތިމަންކަލޭގެފާނު ނަންގަވާނޭނަމަ؛ އަބޫބަކުރުއީ ޚަލީލެއްގެ ގޮތުގައި ނެންގެވީމުހެވެ. ދަންނާށެވެ! ހަމަކަށަވަރުން ތިޔަބައިމީހުންގެ ކުރިންވީ މީހުން، އެއުރެންގެ ނަބިއްޔުންނާއި ޞާލިޙުންގެ ޤަބުރުތަކަކީ މިސްކިތްތަކެއް ކަމުގައި ހަދައި އުޅުނެވެ. ދަންނާށެވެ! ފަހެ ތިޔަބައިމީހުން ޤަބުރުތައް މިސްކިތްތަކެއްގެ ގޮތުގައި ނުހަދާހުށިކަމެވެ. ފަހެ ތިމަންކަލޭގެފާނު ތިޔަބައިމީހުންނަށް އެކަން ނަހީކުރައްވަމެވެ.”
والأحاديث في هذا الباب كثيرة.,މި ބާބުގައިވާ ޙަދީޘްތައް ގިނަވެގެންވެއެވެ.
وقد نص الأئمة من علماء المسلمين من جميع المذاهب الأربعة وغيرهم على النهي عن اتخاذ المساجد على القبور، وحذروا من ذلك؛ عملًا بسنة الرسول ﷺ، ونصحًا للأمة وتحذيرًا لها أن تقع فيما وقع فيه مَن قبلها من غلاة اليهود والنصارى، وأشباههم من ضُلال هذه الأمة.,ހަތަރު މަޛްހަބާއި އެނޫންވެސް މުސްލިމު ޢިލްމުވެރިންގެ ތެރޭގައިވާ އިމާމުންވަނީ ޤަބުރުތަކުގެ މަތީގައި މިސްކިތްތައް އެޅުން ނަހީވެގެންވާކަމަށް ވިދާޅުވެ، އެކަމާމެދު އިންޛާރުދެއްވާފައިއެވެ. އެއީ ރަސޫލާ ﷺގެ ސުންނަތަށް ޢަމަލުކުރުމުގެ ގޮތުންނާއި، އަދި އުއްމަތަށް ނަޞޭޙަތްތެރިވެ، އަދި ކުރިން އުޅުނު ޔަހޫދީންނާއި ނަޞާރާއިންގެ ޙައްދުފަހަނައެޅި މީހުންނާއި، އަދި މި އުއްމަތުން އެމީހުންނާ ވައްތަރުވެގެން މަގުފުރެދިގެންދިޔަ މީހުން ވެއްޓުނު ކަންތަކަށް ވެއްޓުމާމެދު އިންޛާރުދީ ސަމާލުކުރުވުމުގެ ގޮތުންނެވެ.
فالواجب على رابطة العلوم الإسلامية في الأردن، وعلى غيرها من المسلمين: الأخذ بالسُّنَّة، والسير على نهج الأئمة، والحذر مما حذر منه الله ورسوله؛ ففي ذلك صلاح العباد وسعادتهم ونجاتهم في الدنيا والآخرة.,އެހެންކަމުން އުރްދުންގައިވާ ރާބިޠަތުލް ޢުލޫމިލް އިސްލާމީއްޔާގެ މައްޗަށް، އަދި އެނޫންވެސް މުސްލިމުންގެ މައްޗަށް ވާޖިބުވެގެންވަނީ: ސުންނަތުގައި ހިފަހައްޓާ، އަދި އިމާމުންގެ މަންހަޖުގެ މަތީގައި ހިނގާ، އަދި ﷲ އާއި އެކަލާނގެ ރަސޫލާ އިންޛާރުދެއްވި ކަންކަމުން ދުރުވެ އެއްކިބާވުމެވެ. ފަހެ އެހެން ހެދުމުގައިވަނީ: އަޅުތަކުން އިޞްލާޙުވެ، އެމީހުން ދުނިޔެއާއި އާޚިރަތުގައި ބާއްޖަވެރިވެ ނަޖާވުމެވެ.
وقد تعلق بعض الناس في هذا الباب بقوله جل جلاله في قصة أهل الكهف:,ބައެއް މީހުން މި ބާބުގައި، މަތިވެރިވެގެންވާ އަރަހުށި ﷲ ތަޢާލާ ކަހްފުގެ އަހުލުވެރިންގެ ވާހަކާގައި ވަޙީކުރެއްވި މި ބަސްފުޅުގައި އެލިގަތެވެ:
﴿...قَالَ ٱلَّذِينَ غَلَبُواْ عَلَىٰٓ أَمۡرِهِمۡ لَنَتَّخِذَنَّ عَلَيۡهِم مَّسۡجِدٗا﴾,(...އެމީހުންގެ ކަންތަކުގެ މައްޗަށް ގަދަވި މީހުން ބުނޫއެވެ: ހަމަކަށަވަރުން ތިމަންމެން އެއުރެން ތިބިތާގެ މަތީގައި މިސްކިތެއް އަޅާހުށީމެވެ.)
[الكهف: 21].,[އަލްކަހްފު: 21]
والجواب عن ذلك: أن يقال: إن الله سبحانه وتعالى أخبر عن الرؤساء وأهل السيطرة في ذلك الزمان أنهم قالوا هذه المقالة، وليس ذلك على سبيل الرضا والتقرير لهم، وإنما هو على سبيل الذم والعيب والتنفير من صنيعهم،,އެއަށްވާ ޖަވާބަކީ: މިހެން ބުނުމެވެ: ހަމަކަށަވަރުން ﷲ ސުބްޙާނަހޫ ވަތަޢާލާ ޚަބަރުދެއްވާފައިވަނީ: އެ ޒަމާނުގައި ތިބި ބޮޑުންނާއި ބާރުގެ ވެރިން މިހެން ބުނިކަމަށެވެ. އެއީ އެކަމަށް އެކަލާނގެ ރުއްސަވާ، އެެމީހުންނަށް އިޤުރާރުވެވޮޑިގަތުމުގެ ގޮތުންވާ ބަސްފުޅެއް ނޫނެވެ. އެކަމަކު އެ ބަސްފުޅުވާކަން ކަށަވަރީ އެމީހުން ކުރި ކަންތައް ނުބައިކުރައްވާ، ޢައިބުގެ ބަސް ވަޙީކުރައްވާ، އަދި އެކަމުން ދުރުކުރުވުމުގެ ގޮތުންނެވެ.
ويدل على ذلك: أن الرسول ﷺ الذي أنزلت عليه هذه الآية، وهو أعلم الناس بتأويلها؛ قد نهى أمته عن اتخاذ المساجد على القبور، وحذرهم من ذلك، ولعن وذم مَن فعله.,އެކަމަށްަ ދަލީލުކުރަނީ: މި އާޔަތް އެބޭކަލެއްގެ މައްޗަށް ބާވައިލެއްވުނު ރަސޫލާ ﷺ، އެކަލޭގެފާނީ މީސްތަކުންގެ ތެރެއިން އެ އާޔަތުގެ މާނައާއި ތަފްސީރު އެންމެ ބޮޑަށް ދެނެވަޑައިގެންވާ އިންސާނާއެވެ. އެކަލޭގެފާނު އެވަނީ ޤަބުރުތަކުގެ މަތީގައި މިސްކިތްތައް އެޅުން އެކަލޭގެފާނުގެ އުއްމަތަށް ނަހީކުރައްވާ، އަދި އެކަމާމެދު އިންޛާރުދެއްވާ، އަދި އެފަދައިން ކަންތައްކުރި މީހުންނަށް ލަޢުނަތްލައްވާ، ނުބައިކުރައްވާފައިއެވެ.
ولو كان ذلك جائزًا لما شدَّد رسول الله ﷺ في ذلك التشديد العظيم، وبالغ في ذلك حتى لعن من فعله، وأخبر أنه من شرار الخلق عند الله عز وجل، وهذا فيه كفاية وإقناع لطالب الحق.,އެއީ ހުއްދަކަމެއް ކަމުގައިވާނަމަ؛ ﷲ ގެ ރަސޫލާ ﷺ އެހާވަރަށް އެކަމުގައި ހަރުކަށިވެވަޑައިނުގަތީހެވެ. އަދި އެކަމުގެ ނުބައިކަން ބޮޑުކުރައްވާ، އެހެންގޮސް އެކަންކުރި މީހުންނަށް ލަޢުނަތް ދެއްވާ، އަދި އެމީހުންނީ ﷲ ޢައްޒަ ވަޖައްލަގެ ޙަޟްރަތުގައި ޚަލްޤުތަކުންގެ ތެރެއިން އެންމެ ނުބައި މީހުންގެ ތެރޭގައިވާ ބައެއްކަމަށް ޚަބަރުދެއްވާ ހިސާބަށް ނުގެންދެވީހެވެ. ޙައްޤު ހޯދަން އުޅޭ މީހަކަށް މިކަމުގައި ފުދޭވަރު، އަދި ރުހި ޤަބޫލުކުރެވޭނެ މިންވަރުވެއެވެ.
ولو فرضنا أن اتخاذ المساجد على القبور جائز لمن قبلنا؛ لم يجز لنا التأسي بهم في ذلك؛ لأن شريعتنا ناسخة للشرائع قبلها، ورسولنا عليه الصلاة والسلام هو خاتم الرسل، وشريعته كاملة عامّة، وقد نهانا عن اتخاذ المساجد على القبور؛ فلم تَجز لنا مخالفته، ووجب علينا اتباعه، والتمسك بما جاء به، وترك ما خالف ذلك من الشرائع القديمة، والعادات المستحسنة عند مَن فعلها؛ لأنه لا أكمل من شرع الله، وَلَا هدي أحسن من هدي رسول الله ﷺ.,އަދި މިސާލަކަށް ޤަބުރުތަކުގެ މަތީގައި މިސްކިތް އެޅުމަކީ އަހަރުމެންގެ ކުރިން އުޅުނު އުއްމަތްތަކަށް ހުއްދަކަމެއް ކަމުގައި އަހަރުމެން ބެލިނަމަވެސް؛ އެކަމުގައި އެމީހުން ނަމޫނާއަކަށް ބެލުން އަހަރުމެންނަށް ހުއްދައެއް ނުވާނެއެވެ. އެހެނީ އަހަރުމެންގެ ޝަރީޢަތަކީ އޭގެ ކުރިންވީ ޝަރީޢަތްތައް މަންސޫޚަކުރި ޝަރީޢަތެވެ. އަދި އަހަރުމެންގެ ރަސޫލާ عليه الصلاة والسلام އީ ރަސޫލުކަން ޚަތިމުކުރެއްވި ކަލޭގެފާނެވެ. އަދި އެކަލޭގެފާނުގެ ޝަރީޢަތަކީ ފުރިހަމަވެ ޢާއްމުވެގެންވާ ޝަރީޢަތެކެވެ. އެކަލޭގެފާނުވަނީ ޤަބުރުތަކުގެ މަތީގައި މިސްކިތްތައް އެޅުން އަހަރުމެންނަށް ނަހީކުރައްވާފައިއެވެ. އެހެންކަމުން އެކަލޭގެފާނާ ޚިލާފުވުން އަހަރުމެންނަށް ހަމަހިލާ ހުއްދަ ނުވާނެއެވެ. އަދި އަހަރުމެންގެ މައްޗަށް ވާޖިބުވެގެންވަނީ އެކަލޭގެފާނަށް ތަބަޢަވެ، އެކަލޭގެފާނު ގެންނެވި ކަންތަކުގައި ހިފަހައްޓާ، އެއާ ޚިިލާފުވެއްޖެ ކުރީގެ ޝަރީޢަތްތަކާއި، އެކަންކަން ރަނގަޅުކަމަށް ދެކިގެން މީހުން ކުރަމުން އަންނަ ޢާދަކާދަތައްވެސް ދޫކޮށްލުމެވެ. އެހެނީ ﷲ ގެ ޝަރުޢަށްވުރެ ފުރިހަމަ އެއްޗެއް ނުވެއެވެ. އަދި ﷲ ގެ ރަސޫލާ ﷺގެ ހިދާޔަތަށްވުރެ ރިވެތިވެ ރަނގަޅުވެގެންވާ އެހެން ހިދާޔަތެއް ނުވެއެވެ.
واللهَ المسئول أن يوفقنا والمسلمين جميعًا للثبات على دينه، والتمسك بشريعة رسوله محمد عليه الصلاة والسلام؛ في الأقوال والأعمال، والظاهر والباطن، وفي سائر الشئون حتى نلقى الله جل جلاله، إنه سميع قريب.,އަހަރުމެންނާއި އެންމެހާ މުސްލިމުންނަށް ﷲ ގެ ދީނުގައި ޘާބިތުވުމަށާއި، އަދި ބަހާއި ޢަމަލާއި، އެތެރެފުށާއި ބޭރުފުށުން، އަދި ހުރިހާ ކަމެއްގައި އެކަލާނގެ ރަސޫލާ މުޙައްމަދު عليه الصلاة والسلام ގެ ޝަރީޢަތުގައި ހިފެހެއްޓުމަށް އަހަރުމެންނަށް ތައުފީޤުދެއްވުމަށް އެދި ދަންނަވަނީ ހަމައެކަނި އެކަލާނގެއަށެވެ. އެއީ އަހަރުމެން ﷲ ޖައްލަ ޖަލާލުހޫއާ ބައްދަލުވެއްޖައުމަށް ދާންދެނެވެ. ހަމަކަށަވަރުން އެކަލާނގެއީ މޮޅަށް އައްސަވާވޮޑިގެންވާ، ކުއްތަންވެ ވޮޑިގެންވާ އިލާހެވެ.
وصلى الله وسلم على عبده ورسوله محمد وآله وصحبه ومن اهتدى بهداه إلى يوم الدين.,"ﷲ ތަޢާލާ، އެކަލާނގެ އަޅާ އަދި ރަސޫލާ މުޙައްމަދުގެފާނަށާއި، އެކަލޭގެފާނުގެ އާލުންނާއި އަޞްޙާބުންނާއި، ޤިޔާމަތްދުވަހާ ހަމައަށް އެކަލޭގެފާނުގެ ތެދުމަގުން ތެދުމަގު ހޯދިހާ ބަޔަކަށް ޞަލަވާތާއި ސަލާމް ލައްވާށިއެވެ.
 وصلى الله وسلم على عبده ورسوله محمد وآله وصحبه ومن اهتدى بهداه إلى يوم الدين."
