bodyAR,bodyDV
رواه أبو داود وخرّجه أهل السنن الأربع، وصححه الحاكم عن النبي ﷺ بلفظ:,ރިވާކުރެއްވީ އަބޫ ދާވޫދެވެ. އަދި ހަތަރު ސުނަނުގެ އަހުލުވެރިން (އަބޫ ދާވޫދު، އައްތިރްމިޛީ، އައްނަސާއީ، އިބްނު މާޖާ) އެ ޙަދީޘް ނެރުއްވިއެވެ. އަދި އަލްޙާކިމު، ނަބިއްޔާ ﷺގެ އަރިހުން މި ލަފްޒުން ޞައްޙަކުރެއްވިއެވެ:
«مَنْ أَتَى عَرَّافًا أَوْ كَاهِنًا فَصَدَّقَهُ بِمَا يَقُولُ، فَقَدْ كَفَرَ بِمَا أُنْزِلَ عَلَى مُحَمَّدٍ ﷺ».,"""ޢައްރާފެއް (ފާލުބަލާ، ރަމަލުޖަހާ ބުރަންމާނިއެއް) ނުވަތަ ކާހިނެއްގެ ގާތަށް ގޮސް، ދެން އޭނާ ބުނާ އެއްޗެއް ތެދުކޮށްފި މީހާ؛ ފަހެ ހަމަކަށަވަރުން މުޙައްމަދު ﷺ ގެ މައްޗަށް ބާވައިލެއްވުނު އެއްޗަކަށް ކާފަރުވެއްޖެއެވެ."""
وعن عمران بن حصين رضي الله عنه قال قال رسول الله ﷺ:,އަދި ޢިމްރާނު ބްނު ޙުޞައިނު رضي الله عنه ވިދާޅުވިކަމަށް ރިވާކުރެވުނެވެ: ﷲ ގެ ރަސޫލާ ﷺ ޙަދީޘްކުރެއްވިއެވެ:
«لَيْسَ مِنَّا مَنْ تَطَيَّرَ أَوْ تُطُيِّرَ لَهُ، أَوْ تَكَهَّنَ أَوْ تُكُهِّنَ لَهُ، أَوْ سَحَرَ أَوْ سُحِرَ لَهُ، وَمَنْ أَتَى كَاهِنًا فَصَدَّقَهُ بِمَا يَقُولُ، فَقَدْ كَفَرَ بِمَا أُنْزِلَ عَلَى مُحَمَّدٍ ﷺ»،,"""ސުންޕާކަމެއްކަމުގައި ބަލައިފި ނުވަތަ އެމީހަކަށް ސުންޕާކަން ހުރިތޯ ބަލައިދެވޭ މީހާ، ނުވަތަ ކަހީނުކަންކޮށް ނުވަތަ އެމީހަކަށް ކަހީނުކަން ބަލައިދެވޭ މީހާ، ނުވަތަ ސިޙުރުހަދާ ނުވަތަ އެމީހަކަށްޓަކައި ސިޙުރު ހަދައިދެވޭ މީހާ އަހަރުމެންގެ ތެރެއިން ނުވެއެވެ. އަދި ކާހިނެއްގެ ގާތަށް ގޮސް، އޭނާ ބުނާ އެއްޗެއް ތެދުކޮށްފި މީހާ؛ ފަހެ މުޙައްމަދު ﷺގެ މައްޗަށް ބާވައިލެއްވުނު އެއްޗަކަށް ކާފަރުވެއްޖެއެވެ."""
رواه البزار بإسناد جيد.,އަލްބައްޒާރު، ރަނގަޅު އިސްނާދަކުން މި ހަދިޘް ރިވާކުރެއްވިއެވެ.
ففي هذه الأحاديث الشريفة: النهي عن إتيان العرافين والكهنة والسحرة وأمثالهم، وسؤالهم وتصديقهم، وفيها الوعيد على ذلك؛,މި ޝަރަފުވެރި ޙަދީޘްތަކުގައި އެވަނީ: ފާލުބަލާ މީހުންނާއި، ކާހިނުންނާއި، ސިޙުރުވެރިންނާއި އެފަދަ މީހުންގެ ގާތަށް ދިޔުމާއި، އެމީހުންގެ ގާތުން ސުވާލުކޮށް އެމީހުން ތެދުކުރުން ނަހީކުރެވިގެންނެވެ. އަދި އެކަމުގެ މައްޗަށް ވަޢީދުގެ ބަސްވެސް އެވަނީއެވެ.
فلا يجوز أن يغتر بصدقهم في بعض الأمور، ولا بكثرة من يأتي إليهم من الناس؛ فإنهم جهال لا يجوز اغترار الناس بهم؛ لأن الرسول ﷺ قد نهى عن إتيانهم وسؤالهم وتصديقهم؛ لما في ذلك من المنكر العظيم، والخطر الجسيم والعواقب الوخيمة، ولأنهم كذبة فجرة،,އެހެންކަމުން ބައެއް ކަންކަމުގައި އެމީހުން ތެދުހެދިކަމަށްޓަކައި (ނުވަތަ އެމީހުން ބުނި ބަސް ތެދުވިކަމަށްޓަކައި)، އަދި މީސްތަކުންގެ ތެރެއިން އެމީހުންގެ ގާތަށް ދާ މީހުންގެ ގިނަކަމާހުރެވެސް ކެހީގައި ޖެހި ހެއްލިދިޔުން ހުއްދަވެގެން ނުވެއެވެ. ފަހެ އެމީހުންނީ ޖާހިލުންނެވެ. އެމީހުންނާހުރެ މީސްތަކުން ހެއްލުންތެރިވެގެން ނުވާނެއެވެ. އެހެނީ ރަސޫލާ ﷺ ވަނީ އެވެރިންގެ ގާތަށް ދިޔުމާއި، އެވެރިންގެ ގާތުން ސުވާލުކޮށް އެހުމާއި، ތެދުކުރުންވެސް ނަހީކުރައްވާފައިއެވެ. އެއީ އެކަމުގައިވާ ބޮޑުވެގެންވާ މުންކަރާތަށްޓަކައިއެވެ. އަދި ބޮޑުވެގެންވާ ނުރައްކަލާއި ނުބައި ނަތީޖާތަކަށްޓަކައިއެވެ. އެހެނީ އެމީހުންނީ ފާޖިރު ދޮގުވެރިންނެވެ.
كما أن في هذه الأحاديث: دليلًا على كفر الكاهن والساحر؛ لأنهما يدعيان علم الغيب؛ وذلك كفر، ولأنهما لا يتوصلان إلى مقصدهما إلا بخدمة الجن وعبادتهم من دون الله؛ وذلك كفر بالله وشرك به سبحانه، والمصدق لهم في دعواهم الغيب يكون مثلهم، وكل من تلقى هذه الأمور عمن يتعاطاها؛ فقد برئ منه رسول الله ﷺ،,އެފަދައިންމެ މި ޙަދީޘްތަކުގައި: ކާހިނުންނާއި ސިޙުރުވެރިން ކާފަރުވެގެންވާކަމަށް ދަލީލުވެއެވެ. އެއީ އެމީހުން ޣައިބުގެ ޢިލްމު އެނގޭކަމަށް ދަޢުވާކުރުމުންނެވެ. އަދި އެއީ ކުފުރެކެވެ. އަދި އެއީ، ޖިންނީންނަށް ޚިދުމަތްކޮށް، ﷲ ފިޔަވައި ޖިންނީންނަށް އަޅުކަންކޮށްގެން މެނުވީ އެމީހުންގެ މަޤްޞަދަށް ވާޞިލުނުވާތީއެވެ. އެއީ ﷲ އަށް ކާފަރުވެ، އަދި އެކަލާނގެ ސުބްޙާނަހޫ އާ ޝިރުކު ކުރުމެވެ. އަދި އެމީހުންނަށް ޣައިބު އެނގޭކަމަށް ކުރާ ދަޢުވާގައި އެމީހުން ތެދުކުރާ މީހާވެސްވަނީ އެމީހުން ފަދައިންނެވެ. އަދި މިހިރަ ކަންކަންކުރާ މީހުންގެ ކިބައިން މި ކަންކަން ނަގައިގަނެފި ކޮންމެ މީހަކު؛ ފަހެ ﷲ ގެ ރަސޫލާ ﷺ ވަނީ އެމީހެއްގެ ކިބައިން ބަރީއަވެވަޑައިގެންނެވެ.
كما أنه لا يجوز للمسلم: أن يخضع لما يزعمونه علاجاً؛ كنمنمتهم بالطلاسم أو صب الرصاص، ونحو ذلك من الخرافات التي يعملونها؛ فإن هذا من الكهانة والتلبيس على الناس، ومن رضي بذلك فقد ساعدهم على باطلهم وكفرهم.,އެފަދައިންމެ، އެމީހުން ފަރުވާއެއްކަމަށް ދަޢުވާކުރާ ކަންކަމަށް މުސްލިމްމީހާ ބޯލެނބުން ހުއްދަވެގެން ނުވެއެވެ. އެއީ އެމީހުން ކުރަހާ، ޖަހާ އަކަތައް ނުވަތަ ތިމަރަ އެޅުމާއި، އަދިވެސް އެމީހުން ކުރަމުންދާ އެފަދަ ޚުރާފީ ކަންކަމެވެ. ފަހެ މި ކަންކަމީ ކަހީނުކަމުގެ ތެރެއިންވާ، އަދި މީސްތަކުންނަށް އޮޅުވާލުމުގެ ތެރެއިންވާ ކަންކަމެވެ. އަދި އެކަމަށް ރުހިއްޖެ މީހާ؛ ފަހެ އެމީހުންގެ ބާޠިލާއި ކުފުރުގެ މައްޗަށް އެހީވެއްޖެއެވެ.
كما لا يجوز أيضًا لأحد من المسلمين أن يذهب إليهم؛ ليسألهم عمن سيتزوج ابنه أو قريبه، أو عما يكون بين الزوجين وأسرتيهما من المحبة والوفاء، أو العداوة والفراق ونحو ذلك؛,އެފަދައިންމެ، މުސްލިމުންގެ ތެރެއިން އެއްވެސް މީހަކު އެމީހުންގެ ގާތަށް ދިޔުން ހުއްދަވެގެން ނުވެއެވެ. އެއީ އެމީހެއްގެ ދަރިފުޅު ނުވަތަ ތިމާގެ މީހާ ކައިވެނިކުރާނީ ކާކާތޯ އެހުމަށްޓަކައި، ނުވަތަ ދެމަފިރިންނާއި ދެމަފިރިންގެ ޢާއިލާގެ ދެމެދުގައިވާ ލޯތްބާއި ވަފާތެރިކަން، ނުވަތަ ޢަދާވާތްތެރިކަމާއި ވަކިވުމާއި އެފަދަ ކަންކަމާ ބެހޭގޮތުން ސުވާލުކުރުމަށްޓަކައިއެވެ.
لأن هذا من الغيب الذي لا يعلمه إلا الله سبحانه وتعالى.,އެހެނީ މިއީ ﷲ ސުބްޙާނަހޫ ވަތަޢާލާއަށް މެނުވީ އެނގިވޮޑިގެންނުވާ ޣައިބުގެ ތެރެއިންވާ ކަންކަމެވެ.
