source,#,bodyAR,bodyDV,takhrij
صحيح الجامع، الألباني,106,فقال: اللهمَّ بعِلْمِكَ الغيبَ وقُدْرَتِكَ عَلَى الخلَقِ ، أحْيِني ما علِمْتَ الحياةَ خيرًا لِي ، وتَوَفَّنِي إذا عَلِمْتَ الوفَاةَ خيرًا لي ، اللهمَّ إِنَّي أسألُكَ خشْيَتَكَ في الغيبِ والشهادَةِ ، و أسأَلُكَ كَلِمَةَ الْحَقِّ فِي الرِّضَا والغضَبِ ، وأسألُكَ القصدَ في الفقرِ والغِنَى ، وأسألُكَ نعيمًا لَا ينفَدُ ، و أسالُكَ قرَّةَ عينٍ لا تنقَطِعُ ، وأسألُكَ الرِّضَى بعدَ القضاءِ ، وأسألُكَ برْدَ العيشِ بعدَ الموْتِ ، وأسألُكَ لذَّةَ النظرِ إلى وجهِكَ ، والشوْقَ إلى لقائِكَ في غيرِ ضراءَ مُضِرَّةٍ ، ولا فتنةٍ مُضِلَّةٍ ، اللهم زيِّنَّا بزينَةِ الإيمانِ ، واجعلنا هُداةً مهتدينَ,އޭ ﷲ އެވެ. އިބަ އިލާހުގެ ޣައިބުގެ އިލްމުފުޅާއި، ޚަލްގުތަކުންގެ މައްޗަށްވާ އިބަ އިލާހުގެ ކުޅަދުންވަންތަކަން މެދުވެރިކޮށް، މި އަޅާ އިބަ އިލާހުގެ ހަޒްރަތުގައި އެދި ދަންނަވަމެވެ. ދިރިހުރުން މި އަޅާއަށް ހެޔޮވެގެންވާކަމަށް އިބަ އިލާހު ދެނެވޮޑިގަންނަވާހާ ހިނދަކު މި އަޅާ ދިރިލަހައްޓަވާށިއެވެ. އަދި މަރުވުން މި އަޅާއަށް ހެޔޮވެގެންވާކަމަށް އިބަ އިލާހު ދެނެވޮޑިގަންނަވާ ހިނދު މި އަޅާ މަރުގަންނަވާށިއެވެ. އޭ ﷲ އެވެ. ހަމަކަށަވަރުން ސިއްރާއި ފާޅުގައި އިބަ އިލާހަށް ބިރުވެތިވުން ދެއްވުން އެދި މި އަޅާ އިބަ އިލާހުގެ ހަޒްރަތުގައި ދަންނަވަމެވެ. އަދި ރުހުމާއި ރުޅީގައި ވެސް އިޚްލާސްތެރިކަމުގެ ކަލިމަ ދެއްވުން އެދި ދަންނަވަމެވެ. އަދި ނިމުމެއް ނުވާ ނިއުމަތަކާއި، މެދުނުކެނޑުމެއް ނުވާ ލޮލުގެ ފިނިކަމެއް ދެއްވުން އެދި މި އަޅާ އިބަ އިލާހުގެ ހަޒްރަތުގައި އެދި ދަންނަވަމެވެ. އަދި ގަޟާގަދަރަށް ރުހުމާއި، މަރުވުމަށް ފަހު ފިނި (އެބަހީ: އަރާމު ރަނގަޅު) ދިރިއުޅުމަކާއި، އިބަ އިލާހުގެ ވަޖުހުފުޅަށް ބެލުމުގެ އުފާވެރިކަމާއި، އިބަ އިލާހާ ބައްދަލުކުރުމުގެ ޝައުގުވެރިކަން ދެއްވުން އެދި މި އަޅާ އިބަ އިލާހުގެ ހަޒްރަތުގައި އެދި ދަންނަވަމެވެ. އަދި ގެއްލުންދޭ ދަތި އުނދަގޫ ކަންކަމުންނާއި، މަގުފުރައްދާ ފިތުނަތަކުން އިބަ އިލާހުގެ ހަޒްރަތުން މި އަޅާ ރައްކާތެރިކަން އެދެމެވެ. އޭ ﷲ އެވެ. އީމާންކަމުގެ ޒީނަތުން އަޅަމެން ޒީނަތްތެރިކުރައްވާށިއެވެ. އަދި ތެދުމަގު ލިބިގެންވާ، ތެދުމަގު ދައްކާ ބަޔަކު ކަމުގައި އަޅަމެން ލައްވާށިއެވެ.,
صحيح الجامع، الألباني,1260,اللهمَّ احفَظْني بالإسلام قائمًا، و احفَظْني بالإسلام قاعدًا، و احفظْني بالإسلام راقدًا، و لا تُشْمِتْ بي عدوًّا و لا حاسدًا، اللهمَّ إني أسألُك من كل خيرٍ خزائنُه بيدِك، و أعوذُ بك من كل شرٍّ خزائنُه بيدِك,އޭ ﷲ އެވެ. މި އަޅާ ކޮޅަށް ހުންނައިރު، އިސްލާމް ދީން މަތީ މި އަޅާ ރައްކާތެރިކޮށްދެއްވާށިއެވެ. އަދި އިށީނދެ އިންނައިރު، އިސްލާމް ދީން މަތީ މި އަޅާ ރައްކާތެރިކޮށްދެއްވާށިއެވެ. އަދި އޮށޯވެ އޮންނައިރު، އިސްލާމް ދީން މަތީ މި އަޅާ ރައްކާތެރިކޮށްދެއްވާށިއެވެ. އަދި މި އަޅާއަށް (ދިމާވާ ކަމަކާ) މެދު ހަސަދަވެރި އަދުއްވަކު އުފާކުރިޔަ ނުދެއްވާށިއެވެ. އޭ ﷲ އެވެ. އިބަ އިލާހުގެ އަތްޕުޅުގައި އޭގެ ޚަޒާނާވާ ހުރިހާ ހެޔޮ ކަމަކަށް، މި އަޅާ އެދި ދަންނަވަމެވެ. އަދި އިބަ އިލާހުގެ އަތްޕުޅުގައި އޭގެ ޚަޒާނާވާ ހުރިހާ ނުބައި ކަމަކުން، އިބަ އިލާހުގެ ހަޒްރަތުން މި އަޅާ ރައްކާތެރިކަން އެދެމެވެ. ,
صحيح الجامع، الألباني,1278,اللهم إني أسألُك من فضلِك و رحمتِك ؛ فإنَّه لا يملُكها إلا أنت,އޭ ﷲ އެވެ. ހަމަކަށަވަރުން މި އަޅާ އިބަ އިލާހުގެ ފަޟްލުވަންތަވެރިކަމާއި ރަހުމަތުން (ދެއްވުމަށް) އެދި ދަންނަވަމެވެ. އެހެނީ ހަމަކަށަވަރުން އިބަ އިލާހު ފިޔަވާ އެހެން ފަރާތަކަށް އެ ކަންކަން މިލްކުވެގެނެއް ނުވެއެވެ.,
صحيح الجامع، الألباني,1285, اللهمَّ إنِّي أعوذُ بك من العجزِ والكسلِ ، والجبنِ والبخلِ ، والهرمِ ، والقسوةِ ، والغفلةِ ، والعيْلةِ ، والذلةِ ، والمسكنةِ . وأعوذُ بك من الفقرِ والكفرِ ، والفسوقِ والشقاقِ والنفاقِ ، والسمعةِ والرياءِ . وأعوذُ بك من الصممِ ، والبُكمِ ، والجنونِ ، والجُذامِ ، والبَرَصِ ، وسيِّئِ الأسقامِ,އޭ ﷲ އެވެ. ނުކުޅެދުންތެރިކަމާއި، ކަންނެތްކަމާއި، ފިނޑިކަމާއި، ދަހިވެތިކަމާއި، މުސްކުޅިކަމާއި، ހިތްހަރުކަމާއި، ޣާފިލުކަމާއި، ހާލުގައިޖެހުމާއި، ނިކަމެތިކަމާއި، މިސްކީނުކަމުން، މި އަޅާ އިބަ އިލާހުގެ ހަޒްރަތުން ރައްކާތެރިކަން އެދެމެވެ. އަދި ފަގީރުކަމާއި، ކުފްރުންނާއި، ޝިރްކުންނާއި، ފާސިގުކަމާއި، ދެކޮޅުވެރިވުމާއި، ނިފާގުކަމާއި، (ދެއްކުންތެރިކަމުގެ ގޮތުން) އިއްވުމާއި، ދެއްކުމުން، މި އަޅާ އިބަ އިލާހުގެ ހަޒްރަތުން ރައްކާތެރިކަން އެދެމެވެ. އަދި ބީރުކަމާއި، މަންމަންކަމާއި، މޮޔަކަމާއި، ޖުޛާމްބަލިންނާއި، ބަރަޞްބަލިންނާއި، ނުބައިވެގެންވާ ބަލިތަކުން މި އަޅާ އިބަ އިލާހުގެ ހަޒްރަތުން ރައްކާތެރިކަން އެދެމެވެ.,
صحيح الجامع، الألباني,1296,اللهمَّ إنِّي أعوذُ بك من غلبةِ الدَّينِ ، و غَلَبَةِ العدِّو ، و شماتَةِ الأعداءِ,އޭ ﷲ އެވެ. ހަމަކަށަވަރުން ދަރަނި (މި އަޅާގެ މައްޗަށް) ވެރިވެގަތުމުންނާއި، އަދުއްވު ގަދަވުމުންނާއި، (އަޅަމެންނަށް ދެރައެއް ލިބުމުން) އަދުއްވުން އުފާކުރުމުން، މި އަޅާ އިބަ އިލާހުގެ ހަޒްރަތުން ރައްކާތެރިކަން އެދެމެވެ. (ނަސާއީ),
صحيح الجامع، الألباني,1298,اللهمَّ إنِّي أعوذُ بك من منكراتِ الأخلاقِ و الأعمالِ و الأهواءِ و الأدواءِ,އޭ ﷲ! ނުބައި އަޚްލާގުންނާއި ނުބައި އަމަލުތަކުންނާއި ހަވާނަފްސުގެ އެދުންތަކުން، އިބައިލާހުގެ ހަޒްރަތުން މިއަޅާ ރައްކާތެރިކަމަށް އެދެމެވެ.,
صحيح الجامع، الألباني,2085,إِنَّ رُوحَ الْقُدُسِ نَفَثَ فِي رُوعِي، أنَّ نفسًا لَن تموتَ حتَّى تستكمِلَ أجلَها، وتستوعِبَ رزقَها، فاتَّقوا اللهَ، وأجمِلُوا في الطَّلَبِ، ولا يَحمِلَنَّ أحدَكم استبطاءُ الرِّزقِ أن يطلُبَه بمَعصيةِ اللهِ، فإنَّ اللهَ تعالى لا يُنالُ ما عندَه إلَّا بِطاعَتِهِ.,”ހަމަކަށަވަރުން ރޫޙުލް ގުދްސް، ތިމަން ރަސޫލުގެ ހިތަށް އިލްހާމްކުރެއްވިއެވެ: ހަމަކަށަވަރުން އެއްވެސް ނަފްސެއް އޭގެ އަޖަލު ހަމަނުވަނީސް، އަދި އޭގެ ރިޒްގު ފުރިހަމަ ނުކުރަނީސް، މަރެއް ނުވާނެއެވެ. ވީމާ ތިޔަބައިމީހުން ﷲ އަށް ތަގްވާވެރިވާށެވެ. އަދި (ރިޒްގު) ހޯދުމުގައި ރިވެތި ގޮތް ޚިޔާރުކުރާށެވެ. (އެބަހީ: ދުނިޔެ ހޯދާއިރު، މެދުމިނުގައި އަދި ހަލާލު ރަނގަޅު ގޮތުގައި ދެމިތިބޭށެވެ.) އަދި ރިޒްގު އައުން ލަސްވުމަކީ، ތިޔަބައިމީހުންކުރެ މީހަކު، ﷲ އަށް އުރެދިގެން އެ ހޯދަން އުޅުމުގެ ސަބަބެއް ކަމުގައި ނަހަދާށެވެ. އެހެނީ ހަމަކަށަވަރުން ﷲ ތަޢާލާގެ ހަޒްރަތުގައިވާ ތަކެތި، އެ އިލާހަށް ކިޔަމަންތެރިވުމުން މެނުވީ ނުލިބޭހުއްޓެވެ.“,
صحيح الجامع، الألباني,3591,اللهمَّ إنِّي أعوذُ بك من منكراتِ الأخلاقِ و الأعمالِ و الأهواءِ و الأدواءِ,އޭ ﷲ އެވެ. ހަމަކަށަވަރުން ނުބައި އަޚްލާގުތަކާއި، އަމަލުތަކާއި، އެދުންތަކާއި، ބަލިތަކުން މި އަޅާ އިބަ އިލާހުގެ ހަޒްރަތުން ރައްކާތެރިކަން އެދެމެވެ.,
صحيح الجامع، الألباني,4213,فضلُ العالمِ على العابِدِ ، كفَضْلِي علَى أدناكم ، إِنَّ اللهَ عزَّ وجلَّ وملائِكتَهُ ، و أهلَ السمواتِ والأرضِ ، حتى النملةَ في جُحْرِها ، وحتى الحوتَ ، ليُصَلُّونَ على معلِّمِ الناسِ الخيرَ,ހަމަކަށަވަރުން ﷲ އާއި މަލާއިކަތުން އަދި އުޑާއި ބިމުގެ އަހްލުވެރިން އަދި ހޮރުތެރޭވާ ހިންޏާއި ކަނޑުތަކުގައިވާ މަސްތަކަށް ދާންދެން، ހެޔޮކަންތައްތައް މީސްތަކުންނަށް އުނގަންނައިދޭ މީހާއަށް ޞަލަވާތްކިޔަވައެވެ.,
صحيح الجامع، الألباني,6108,مَنْ أنظرَ مُعْسِرًا ، فلَهُ بكُلِّ يومٍ مثلُهُ صدَقَةٌ,“(ދަރަނިވެރިވެގެން) ދަތިވެފައިވާ މީހަކަށް ދަރަނި ފަސްކޮށްދިން މީހާ ދަންނައެވެ. އެކަންވާހުށީ އޭނާ ފަސްކޮށްދިން ކޮންމެ ދުވަހަކަށްޓަކައިވާ ޞަދަގާތެއް ފަދައިންނެވެ. (އެބަހީ: އެފަދަ އަޖުރެއް އޭނާއަށް ލިބޭނެއެވެ.)”,
