wordAR,wordDV,wordEN,meanAR,meanDV,meanEN
,އަޒުލުކުރުން,depose,,,
,ފުންމިން,depth,,,
,ސައްޔިދު,descendant of Muhammad the Holy Prophet,,,
,ފަހުތިބީން,descendants,,,
,ސިފަކުރުން,describe,,,
,ސަހަރާ,desert,,,
,ފަޅުކުރުން,desert,,,
,ހައްގުވުން,deserve,,,
,އެދުން,desire,,,
,މޭޒު,desk,,,
,ޑެސްކު,desk,,,
,ބިންހިމަ ގަސް,desmodium triflorum,,,
,ބިންހަމަ,desmodium triflorum,,,
,ކަމަކު ދާކަށް ނެތް,despair,,,
,ތަޤުދީރު,destiny,,,
,މިންވަރު,destiny,,,
,ހަލާކު ކުރުން,destroy,,,
,ތަފުސީލު,detail,,,
,އަޒުލުކުރުން,dethrone,,,
,ތަރައްގީކުރުން,develop,,,
,ސާފުކުރުން (ފިލްމު),develop,,,
,އިބިލީސް,devil,,,
,ގަރަދަ,devil's cotton,,,
,ފަތިހު ފިނި,dew,,,
,ޝަބްނަމް,dew,,,
,ޝަބްނަމް ތިކި,dew,,,
,އާވިފެންވާ ދަރަޖަ,dew point,,,
,ދަރުމަ,dharma,,,
,ހީރާ,diamond,,,
,ޖަވާހިރު,diamond,,,
,އަލިމަސް (ޖަވާހިރު),diamond,,,
,ޔާގޫތު,diamond,,,
,ބޭރަށް ހިންގުން,diarrhoea,,,
,ލަޅި,dick,,,
,ބޮއަގަނޑު,dickhead,,,
,ބަސްފޮތް,dictionary,,,
,މަރުވުން,die,,,
,އަވަހާރަވުން,die,,,
,ކާނާ,diet,,,
,ތަފާތު,difference,,,
,ތަފާތު,different,,,
,އެހެން (ވާހަކަ-އެއް/ކަމެއް),different,,,
,އުނދަގޫ,difficult,,,
,އުނދަގުލެއް,difficulty,,,
,ކޮނުން,dig,,,
,ހަޖަމުކުރުން,digest,,,
,ގަދަރު,dignity,,,
,މުރާލި,diligent,,,
,ދަމުއި,dill seed,,,
,ފަންޑު,dim,,,
,ކާ ކޮޓަރި,dining room,,,
,ރޭގަނޑުގެ ކެއުން,dinner,,,
,ސީދާ,direct,,,
,މިސްރާބު,direction,,,
,ދިމާ,direction,,,
,އޮއިކޮޅު,direction sea current is coming from,,,
,ޑިރެކްޓަރު,director,,,
,ކިލާ,dirt,,,
,ކުނި (ކިލާ),dirt,,,
,ކިލާ ވެފައިވާ,dirty,,,
,ހަޑި ވެފައިވާ,dirty,,,
,ޣައައިބުވުން (ގެއްލިގެންދިއުން),disappear,,,
,ގެއްލުން,disappear,,,
,ހޯދުން,discover,,,
,މަޝްވަރާކުރުން,discuss,,,
,މަޝްވަރާ,discussion,,,
,ސައްލާ,discussion,,,
,ބަލި,disease,,,
,ހަޑި,disgusting,,,
,ތަށި,dish,,,
,ދޮގު ވެރި,dishonest,,,
,ހިންތަ,dishonesty,,,
,އުރެދުން,disobey,,,
,ދައްކާލުމެއް,display,,,
,ދެއްކުން,display,,,
,އުވާލުން,dissolve,,,
,ގިރުން (ދިޔާ އެއްޗެއްގެ ތެރެ-އަށް),dissolve,,,
,ދުރުމިން,distance,,,
,ހަތަރު ދަން,distance of 48 miles,,,
,އެއްކިބާވުން,distancing yourself from something,,,
,ދުރު,distant,,,
,ހާބޮލި,distorsio anus,,,
,ބަހާލުން,distribute,,,
,އަވަށް,district,,,
,ތަފާތު,diverse,,,
,ބައިކުރުން (ބައި-ބަޔަށް ވަކިކުރުން),divide,,,
,އިލާހީ,divine,,,
,އިރާދަ,divine will,,,
,މިންވަރުފުޅު,divine will,,,
,ވަރިކުރުން,divorce,,,
,ވަރި,divorce,,,
,ކުރުން,do,,,
,ޑަކުޓަރު (މިހާރު.),doctor,,,
,ބޭސްވެރިޔާ (ކުރީ.),doctor,,,
,ބަޅު,dog,,,
,ކުއްތާ,dog,,,
,ވޮށިމަސް,dogtooth tuna,,,
,ބުދު (ކުޅޭ),doll,,,
,ޑޮލަރު,dollar,,,
,ކޯމަސް,dolphin,,,
,ފިޔަލަ,dolphin fish,,,
,ގުއްބު,dome,,,
,ދީނޯ,don't do that,,,
,ހިމާރު,dongle,,,
,ދޮރު,donkey,,,
,ފައިފުހި,door,,,
,ތިކި,doormat,,,
,ދެގުނަ,dot,,,
,ޑަބަލުކުރުން,double,,,
,ޑަބަލް,double,,,
,ގަޅި ކަޅު-އޮށް,double,,,
,ޝަކުކު,doublebar goatfish,,,
,ކޮތަރު,doubt,,,
,އިލިބައި,dove,,,
,ތިރި,dowelling,,,
,ތިރީ ބުރި,down,,,
,ތިރި,downstairs,,,
,ތިރި,downward,,,
,ޑަޒަން,dozen,,,
,ދޮޅު ހާހަކަށް,dozen,,,
,ދަމާ ގެންދިއުން,drag,,,
,ކޫތުން,drag,,,
,ވަށަނގުލި,dragon's blood,,,
,ދޮންދޫނި,dragonfly,,,
,އޮހިގެންދިއުން,drain,,,
,ކާނު,drain,,,
,ތަމްސީލު,drama,,,
,އެއްވަރުވުން (މުބާރާތު),draw,,,
,ކުރެހުން,draw,,,
,ވައިގަނޑު (މޭޒުގެ),drawers,,,
,އަކަ,drawing of gridlines,,,
,ހުވަފެން,dream,,,
,ހުވަފެން ފެނުން,dream,,,
,ހެދުން އެޅުން,dress,,,
,ލިބާސް,dress,,,
,ލިބާހަށް އައިބު ވެފައިވާ,dress needed,,,
,ކަރުފެހި ލިބާސް,dress with neck and shoulders embroidered with gold and silver thread,,,
,ލިބާސް ލެއްވުން,dressing ritual for young women,,,
,މޭކަޕް މޭޒު,dressing table,,,
,ސޮނި,dribble,,,
,ބުއިން,drink,,,
,ބުއިން (ބޮއަން ގެންގުޅެ ކާނާ),drink,,,
,ގޮރު ބުއި,drink piss,,,
,ކުރުނބާ,drinking coconut,,,
,ފެންޑާ,drinking water container on dhoani,,,
,ދުވުން,drive,,,
,ޑްރައިވަރު,driver,,,
,ދުއްވާ މީހާ,driver,,,
,ވެއްޓުން,drop,,,
,ތިއްކެއް,drop,,,
,ހިކި ހަނަފަސް,drought,,,
,ހަނަފަސް (ވާރޭ ނު ވެހި ގިނަދުވަސް ވުން),drought,,,
,ގެންބުން,drown,,,
,ޑްރަގު,drugs,,,
,ބޭސް,drugs,,,
,ބެރު,drum,,,
,ބެރުޖެހުން,drum,,,
,ނާބުސްޚާން,drumhouse,,,
,ނާބަ,drumming,,,
,މުރަނގަ ތޮޅި,drumstick bean,,,
,މަސްތު ވެފައި,drunk,,,
,ހިކި,dry,,,
,ގޯދި,dry dock,,,
,އޮޑިވަޅު,dry dock,,,
,ފުށު,dry land,,,
,އަސްދޫނި,duck,,,
,ފޫހި,dull,,,
,މަންމަން,dumb,,,
,ގަމާރު,dumb,,,
,ކުނި ގޮނޑު ކަކުނި,dump crab,,,
,ބަތްޕޮޅި މަސް,dusky batfish,,,
,ލަނޑާ,dusky parrotfish,,,
,ހިރަފުސް ފޮޅުން,dust,,,
,ހިރަފުސް,dust,,,
,ކުނިވަށިގަނޑު,dustbin,,,
,ފޮޅާ ފޮތިގަނޑު (ހިރަފުސް ފަދަ ތަކެތި),duster,,,
,ހިރަފުސް ފޮޅާ ފޮތިގަނޑު,duster,,,
,ވާޖިބު,duty,,,
,ހާސިލުމާސިލު,duty,,,
,ކުރު,dwarf,,,
,އަބޫޖަހުލުރުއް,dwarf sago palm cycas revoluta,,,
,ކުލަ ޖެއްސުން,dye,,,
,ދަރިކޮޅު,dynasty,,,
,ވަންހަ,dynasty,,,
,ކޮމްމެ,each,,,
,ޝައުގުވެރި,eager,,,
,ބާޒު,eagle,,,
,ކަންފަތް,ear,,,
,ކަންފަތު މުދި,ear-ring,,,
,ކުރިން,early,,,
,ވަހަށް,early,,,
,މާއިރާ (މާ އަވަހަށް),early,,,
,އިރާކޮޅު,early evening,,,
,ދަންވަރު,early morning,,,
,ހޯދުން (މަސައްކައި ކޮށްގެން ތަކެތި ލިބި ގަތުން),earn,,,
,ދުނިޔެ,earth,,,
,ބިން,earth,,,
,މަރުތަބާން,earthenware water pot,,,
,ބިންހެލުން,earthquake,,,
,ކިލާފަނި,earthworms,,,
,ފަސޭހަ,ease,,,
,ފަސޭހައިން,easily,,,
,އިރުމަތި,east,,,
,އިރުވައި ހުދު,eastern cattle egret,,,
,ގާދޫ ކޮލު,eastern entrance to Malé harbour,,,
,އަޅި މާކަނާ,eastern grey heron,,,
,ލައްޓި,eastern little tuna,,,
,އިރު މައްޗަށް,eastward,,,
,ފަސޭހަ,easy,,,
,ލުއި (ފަސޭހަ),easy,,,
,ކެއުން,eat,,,
,އަސް ކަނި,eaves,,,
,ކަޅުވަކަރު,ebony tree,,,
,ކޭތަ,eclipse,,,
,އިގްތިސާދު,economy,,,
,މައީޝަތް,economy,,,
,ކައިރިފަށް,edge,,,
,ކެވޭކަހަލަ,edible,,,
,އެޑިޓަރު,editor,,,
,ފަށުގައި,edge of,,,
,ދަސްކޮށްދިނުން,educate,,,
,އުނގަންނައިދިނުން,educate,,,
,ކިޔަވައިގެން ހުރި (ތައުލީމީ),educated,,,
,ދަންނަކަން,educated,,,
,މަ އާރިފް,education,,,
,ތައުލީމް,education,,,
,ވެން,eel,,,
,އަސަރު,effect,,,
,އަސަރުކުރުން,effect,,,
,ރަނޑު,effeminate,,,
,ބިސް,egg,,,
,ބަށި (ތަރުކާރީ އެއް),egg plant,,,
,އަށެއް,eight,,,
,އަށާރަ އެ,eighteen,,,
,އަށް ވަނަ,ighth,,,
,އާހި,eighty,,,
,އައްޑިހަ,eighty,,,
,އުޅަންބޮށި,elbow,,,
,ދޮށީ,elder,,,
,ދޮށިކަން,elder,,,
,ހޮވުން (ވޯޓުލައިގެން),elect,,,
,އިންތިހާބް,election,,,
,ކަރަންޓް,electric,,,
,ކަރަންޓައި ބެހޭ މީހާ,electrician,,,
,ކަރަންޓް,electricity,,,
,ބަހާ,element,,,
,އުންސުރު,element,,,
,ބައި,element,,,
,ފެޝުން (އަސާސީ),elementary,,,
,ފަޝައިގަންނަ (އަސާސީ),elementary,,,
,ނީލަގެރި އެއި,elephant,,,
,ކުންބުރު,elephant creeper,,,
,އުފުލަން,elevate,,,
,އެގާރަ,eleven,,,
,އެކަޝީގެންވާ,eligible,,,
,ފުރުން (ދަތުރެއް ފަޝައިގަތުން),embark,,,
,ސަފީރު އޮފީސް,embassy,,,
,ފާހަގަ,emblem,,,
,ނިޝާން,emblem,,,
,ކަސީދާ,embroidery,,,
,ޖަޒުބާތް,emotion,,,
,ކޮކާ,emperor angelfish,,,
,މުއަޒްޒަފު,employee,,,
,ހުސް,empty,,,
,ހުސްކުރުން,empty,,,
,ހަރިމްމަ,enclosure,,,
,ހިއްވަރު ދިނުން,encourage,,,
,ނިމުނީ,end,,,
,ނިމުން,end,,,
,ނިންމުން,end,,,
,ގުންބާ ކުރުން,enema,,,
,ހަތުރު,enemy,,,
,ދުޝްމިނު,enemy,,,
,ހަކަތަ,energy,,,
,އިންޖީނު,engine,,,
,އިންޖީނަރު,engineer,,,
,އިނގިރޭސި,English,,,
,މަޖާކުރުން,enjoy,,,
,އުފާކުރުން,enjoy,,,
,ބޮޑުކުރުން,enlarge,,,
,ފިތުނަ,enmity,,,
,ހޭޔޮވަރު,enough,,,
,ފުދޭވަރު,enough,,,
,ވަނުން,enter,,,
,ހުރިހާ,entire,,,
,މުޅި,entire,,,
,ވަންނަ,entrance,,,
,ވަންނަ ދޮރު,entrance,,,
,ސިޓީއުރަ,envelope,,,
,ތިމާވެށި,environment,,,
,ވެށީ,environment,,,
,ބޮޑު ރޯގާ,epidemic,,,
,ރޯގާ,epidemic,,,
,އެއްވަރު,equal,,,
,ހަމަހަމަ,equal,,,
,ހަމަހަމަ (ތަފާތެއް ނެތުން),equal,,,
,ދެބައިހަމަ (ދުނިޔެގެ),equator,,,
,ފުހުން,erase,,,
,ފޮހޭ ރަބަރު,eraser,,,
,ބުރެކި,erotic,,,
,ކުއް,error,,,
,ބޮޑުވުން (އަރާރުމެއް/ މަސައްލައެއް),escalate,,,
,އިތުރުވުން,escalate,,,
,ވާބޮޑު (ކަމެއް ނުވަތަ އެއްޗެއް),escalation,,,
,ދުވާ ސިޑި,escalator,,,
,ސިޑިލިފްޓް,escalator,,,
,ސަލާމައި,escape,,,
,ސަލާމައި ވުން,escape,,,
,މުހިންމު,essential,,,
,ގާއިމުކުރުން,establish,,,
,އަބަދައް,eternal,,,
,ދާއިމީ,eternal,,,
,ތަސްބީހަ ރުއް,European fan palm,,,
,ފަންކާރުއް,European fan palm,,,
,ފަރަންޖެއެ,Europeans,,,
,ދޫކޮއް ދިއުން (ތަން/ގެ),evacuate,,,
,ހަމަހަމަ,even,,,
,އެއްވަރު,even,,,
,ހަވީރު,evening,,,
,ބޮންޑިކަންދޮޅު,evening lily,,,
,ކަންތައް,event,,,
,ހާދިސާ,event,,,
,އަބަދަށް,ever,,,
,ދުވަހަކު ވެސް,ever,,,
,އެންމެން,everybody,,,
,އާދަކޮށް,everyday,,,
,ހުރިހާ އެހްޗެހި,everything,,,
,ހުރިހާ ތާކު,everywhere,,,
,ހެކި,evidence,,,
,ގަރީނާ,evidence,,,
,ދަލީލު,evidence,,,
,ނުބައި,evil,,,
,ރެސްއި,evil spirits living in the sea who stalk Maldive ships,,,
,މުޅިން އެގޮއި,exact,,,
,ބޮޑުކުރުން (ވާހަކަ/ކަމެއް),exaggerate,,,
,އިމްތިހާނު,examination,,,
,އިމްތިހާންކުރުން,examine,,,
,މިސާލު,example,,,
,ކޮންނުން,excavate,,,
,ބަރާބަރު,excellent,,,
,ވަރަށް ރަނގަޅު,excellent,,,
,ފިޔަވައި,except,,,
,އިސްތިސްނާ,exception,,,
,ބަދަލު,exchange,,,
,ބަދަލުކުރުން,exchange,,,
,ހިއް އަވަސްވުން,excite,,,
,ހައިރާންވުން,exclaim,,,
,އައްދޯއި!,exclamation expressing intense pain,,,
,އުޒުރު,excuse,,,
,އިޒުނަލިބުން (ނުވަތަ އިޒުނަދިނުން),excuse,,,
,އަހަންނަށް މާފު ކުރޭ,excuse me,,,
,ޖައްލާއާދު,executioner,,,
,ކަސްރަތު,exercise,,,
,ތަމްރީން,exercise,,,
,ފަރިތަކުރުން,exercise,,,
,ކަސްރަތުކުރުން,exercise,,,
,ހުސްވުން,exhaust,,,
,މައުރަޒް,exhibition,,,
,އަރުވާލުން,exile,,,
,ވުން,exist,,,
,ތިބުން,exist,,,
,ހުރި,existing,,,
,ނުކުތުން,exit,,,
,ނުކުންނަ,exit,,,
,ފުޅާވުން (ބިޔަވެ ބޮޑުވުން/އެއްޗެއް ނުވަތަ ކަމެއް),expand,,,
,އުމްމީދު,expectation,,,
,ޚަރަދު,expenditure,,,
,ޚަރަދު,expense,,,
,އަގުބޮޑު,expensive,,,
,ތަޖުރިބާ,experience,,,
,އޮޅުންފިލުވައިދިނުން,explain,,,
,ގޮވާތަކެތި,explosives,,,
,ބޭރުކުރުން (މުދާ ފަދަ ތަކެތި),export,,,
,ހާމަކުރުން,expose,,,
,ފާޅުވުން (ފައުޅުވުން),expose,,,
,ފާޅު,exposure,,,
,ފާޅުކުރުން,express,,,
,ބަޔާންކުރުން,express,,,
,ކުލަވަރު (މޫނުމަތީގެ),expression,,,
,ފްއޮއަރުވުން (ދިގުކުރުން),extend,,,
,އިތުރުކުރުން,extend,,,
,އިތުރު,extra,,,
,ލޯ,eye,,,
,ބުމަ,eyebrow,,,
,އެސްފިޔަ,eyelashes,,,
,ސަންދުވާ,fabric,,,
,އެލާޗާ,fabric,,,
,ސާޓަނު,fabric,,,
,ކުރިމަތިލުން,face,,,
,މޫނު,face,,,
,ހަގީގައި,fact,,,
,ކާރުޚާނާ,factory,,,
,ފަނޑުވުން,fade,,,
,ފައިލް,fail,,,
,ފޭލުވުން (އިމްތިހްއާން ފަދަ ކަމަކުން ކާމިޔާބުނުވުން),fail,,,
,ފަނޑު,faint,,,
,އަންބުރައިގަތުން,faint,,,
,ދޮން (ކުލަ އަލި),fair,,,
,ހަމަމަ,fair,,,
,ކުލަ އަލި,fair,,,
,ބާޒު,falcon,,,
,ވެއްޓުން,fall,,,
,ބިސޮހި,fallopian tube,,,
,ދޮގު,FALSE,,,
,ފާލްސާ,false berry,,,
,ކުރި ފިލާ,false jalap,,,
,ތުން ބިބި,false moorish idol fish,,,
,ދެކެފަރިތަ,familiar,,,
,ދަންނަ,familiar,,,
,އާއިލާ,family,,,
,މަޝްހޫރު,famous,,,
,ފަންކާ,fan,,,
,ފަންކާކުރުން,fan,,,
,ވިހުން (ފަންކާ ފަދަ އެއްޗަކުން),fan,,,
,ސާމަރާ,fan of peacock feathers,,,
,ދުރުން,far,,,
,ދުރަށް,far,,,
,ދުރު,far,,,
,އަގު,fare,,,
,ދަނޑުހެއްދުން,farm,,,
,ހުއިހައްޕާ ދަނޑު,farm,,,
,ދަނޑުވެރިޔާ,farmer,,,
,ފޮޑި,fart,,,
,ފެޝަން,fashion,,,
,ރޮއަދަ ހިފުން,fast,,,
,ރޮއަދަ,fast,,,
,ހަލުވި,fast,,,
,އަވަސް,fast,,,
,ބާރަށް,fast,,,
,ހަރުކުރުން (ނުވަތަ ވާންކުރުން),fasten,,,
,އެއްސުން,fasten,,,
,ފަލަ,fat,,,
,ސަރުބީ,fat,,,
,ތަޣްދީރު,fate,,,
,ނަސީބު,fate,,,
,ބައްޕަ,father,,,
,ކުށް,fault,,,
,ހެއޮކަމެއް ކޮއްދިނުން,favour,,,
,ހޭއޮކަންތައް,favour,,,
,ގަޔާވާ,favourite,,,
,އެއްމެ ގަބޫލު,favourite,,,
,ބިރު,fear,,,
,ބިރުގަތުން,fear,,,
,ޖާފަތް,feast,,,
,ދޫނިފަތް,feather,,,
,ފީ (ކަމަކަށް/ޚިދުމަތަކައް ދައްކަން ޖެހޭ),fee,,,
,ކުލި,fee,,,
,ބަލިކަށި,feeble,,,
,ކާންދިނުން,feed,,,
,ބުއް ދިނުން,feed,,,
,އިހުސާސްވުން,feel,,,
,އިހުސާސް,feelings,,,
,މީހާ,fellow,,,
,އަންހެން,female,,,
,މިނިކައި ދައިތަ,female flesh-eating spirit,,,
,ފުޅައް,fence,,,
,ފުޅައް އެޅުން,fence,,,
,ދަވިގަނދު,fennel,,,
,އޮއަބަތް,fenugreek,,,
,ކީސްފިލާ,fern,,,
,ދަރިމައި,fertilisation,,,
,މުޑުވައް ކުރުން,fertilise,,,
,އީދު,festival,,,
,ހުން,fever,,,
,މަދުން,few,,,
,ލާމިޔާ,ficus tsiela,,,
,ލާމި,ficus tsiela,,,
,ރޮނގު,field,,,
,ދަނޑު,field,,,
,ހޮވުން (ކުރިކެޓް/ބަށި ފަދަ ކުޅިވަރުގައި),field,,,
,ފަނަރަ,fifteen,,,
,ފަސްވަނަ,fifth,,,
,ފަންސާސް ވަނަ,fiftieth,,,
,ފަންސާސް,fifty,,,
,ވައްތީނި (މޭވާ),fig,,,
,ވައްތީނި (ގަސް),fig tree,,,
,އަރާރުންވުން (ތަޅާފޮޅުން),fight,,,
,ތަޅައިފޮޅުން,fight,,,
,ބައްޓަން (ނުވަތަ ހަށިގަނޑުގެ ބައްޓަން),figure,,,
,ނަމްބަރު,figure,,,
,އަދަދު (ހިސާބުގެ),figure,,,
,ދައި ކެންޑުން,filing teeth,,,
,ފުރުން (އެއްޗަކައް އެހެން އެޗެއް އަޅައި ނުވަތަ ލިޔެ),fill,,,
,ފިލްމު,film,,,
,ފިލްމުކުރުން (ފިލްމައް ނެގުން),film,,,
,އުރަށްއަ,fin,,,
,އެމްމެފަސް,final,,,
,ހޯދުން,find,,,
,ޖޫރިމަނާ ކުރުން,fine,,,
,ރީތި,fine,,,
,އިންގިލި,finger,,,
,ބިންބި,finger millet,,,
,ނިމްމުން,finish,,,
,ނިމުން,finish,,,
,ކޮތަރި,fins,,,
,އަލިފާން ޖެހުން,fire,,,
,އަލިފާން ރޯކުރުން,fire,,,
,އަލިފާން,fire,,,
,އަލިފާން ނިއްވާ މީހާ,fireman,,,
,ބަޑިކުޅި,fireworks,,,
,ފުރަތަމަ (އެއްވަނަ),first,,,
,އެއްވަނަ,first,,,
,ވަވައި,first plank next to keel,,,
,މަސް,fish,,,
,މަސްބޭނުން,fish,,,
,ހިކި މަސް,fish,,,
,ވަޅޯމަސް,fish,,,
,ބިސްކަޓްލަސް,fish and egg balls,,,
,މަސްކަޓްލަސް,fish balls,,,
,ކުޅިބޯކިބާ,fish cake,,,
,މަސްރޮޝި,fish filled flat bread,,,
,މަހަވަޅި,fish part,,,
,ކިންބި,fish poison tree,,,
,ކީމިޔާ,fish rolls/crescents,,,
,ބަޖިޔާ,fish samosa,,,
,ބޮއަޝިފިޔަ,fish section between belly and tail fin,,,
,ގަރުދިޔަ,fish soup,,,
,މަސްވެރިޔާ,fisherman,,,
,ކޮއަރި,fisherman's coneshaped hat,,,
,މަސްދޯނި,fishing boat,,,
,މަސްއޮޑި,fishing boat,,,
,ވަދުދޯނި,fishing boat,,,
,ކެއޮޅު,fishing captain,,,
,ރޮދު,fishing line,,,
,ނަނު,fishing line,,,
,ދޮޝި (މަސް ބާނާ),fishing rod,,,
,ހޭއޮވަރު ކުރުން,fit,,,
,ހޭއޮވަރު,fit,,,
,ފަހީހް,five,,,
,ދިޔޮއަ ކާލި,five-armed starfish,,,
,ކަމަނާ,five-armed starfish,,,
,މޭލި,five-armed starfish,,,
,ރަންދިޔެކާލާ,five-armed starfish,,,
,ދުންނިކަ,five-leafed chaste tree,,,
,ފަސްފިޔަކައްޓަލަ,five-leafed yam,,,
,ރަނގަޅުކުރުން,fix,,,
,ހަމަޖެއްސުން (ޖެހިފައިވާ މައްސަލައެއް ނުވަތަ ކުށެއް),fix,,,
,ދިދަ,flag,,,
,ހުޅުގަނޑު,flame,,,
,ގިނިމާ,flame of the forest,,,
,ކުދިރައި މާ,flame of the wood,,,
,ފަތާ (ފަތިކޮއް އެއްވަރުކޮއް),flat,,,
,ހިމެރި,flat bean,,,
,ރަހަ,flavour,,,
,ސެއްޅި,flea,,,
,ކަމްބުޅި,fleabane,,,
,މިނިމަސް,flesh,,,
,މާހޯގުޅާ,flesh-footed shearwater,,,
,ފްލައިޓް,flight,,,
,އެއްލުން,fling,,,
,ފެންމަތީގައި އޮތުން,float,,,
,އޮޔާދިއުން,float,,,
,ތައުޒީރުކުރުން,flog,,,
,ފެންބޮޑުވުން,flood,,,
,ތަޅުގަނޑު,floor,,,
,ބިންމަތި,floor,,,
,ގަސްގަހާގެހި,flora,,,
,އޮއި ބޮނބި,flotsam,,,
,ވެލިމަޑި,flounder,,,
,ފުއް ގޮދަން,flour,,,
,އޮއި ދެމުން (ފެން/އޮއި),flow,,,
,މައު,flower,,,
,މާ,flower,,,
,މާޓުކުރި,flower vase,,,
,ރޯގާ,flu,,,
,ދިޔާތަކެތި,fluid,,,
,ފުމޭ އޮނު,flute,,,
,އުދުހުން,fly,,,
,މެހި,fly,,,
,ވައިގެމަގުންދިއުން,fly,,,
,ފުޅަނގި,flyingfish,,,
,ފޮނު,foam,,,
,ބޮއަދުނފިނި,fog,,,
,ދުންފިނި,fog,,,
,ވަރައުނގު,foil,,,
,ރޫ (ފޮތި/ކަރުދާސް ފަޖްޖެހުމުން ހުންނަ),fold,,,
,ފަތްޖެހުން,fold,,,
,މީހުން (ރަށެއްގެ/ ތިމާގެ),folks,,,
,ކާނާ,food,,,
,ޒިރާއާ,food,,,
,ކޭން,food,,,
,ކާޑު,food,,,
,ވަޑިގޮނު,food bag,,,
,ސޭކު,fool,,,
,މޮޔަ,fool,,,
,މޮޔަހެދުން,fool,,,
,ސޭކުހެއްދުން,fool,,,
,މޮޔަ,foolish,,,
,ސޭކު,foolish,,,
,ފައިތިލަ,foot,,,
,ފައިވާން,footwear,,,
,ޓަކާ,for,,,
,އަށް,for,,,
,މަނާކުރުން,forbid,,,
,ހަރާންކުރުން,forbid,,,
,ހަރާން,forbidden,,,
,ބާރު,force,,,
,ގަދަ އެޅުން,force,,,
,ބާރުލުން,force,,,
,ކުރިޔައް ލަފާކުރުން,forecast,,,
,ދިރުނބާ ކޮޅު ގެ,forecastle,,,
,ޝަހާދާތް އިންގިލި,forefinger,,,
,ނިއްކުރި,forehead,,,
,ބޭރުގެ,foreign,,,
,ބިދޭސީ,foreign,,,
,ފުރެދެ,foreign,,,
,ވެލާނާ މަނިކުފާން,Foreign Minister,,,
,ސަރުދާރު,foreman,,,
,ވަލުތެރެ,forest,,,
,ޖަންގަލި,forest,,,
,ސަވާ,forestay,,,
,އަބަދައް,forever,,,
,ހަންދާން ނައްތާލުން,forget,,,
,ހަންދާންނެތުން,forget,,,
,މައާފުކުރުން,forgive,,,
,އޫ,fork,,,
,ތިން އަނގޮޅި,forked path,,,
,ފޯމް,form,,,
,ރަސްމީ,formal,,,
,ކިއްލާ,fort,,,
,ކޯއްޓޭ,fort,,,
,ދެހަފްތާ,fortnight,,,
,ފޮއެދުވަސް,fortnight,,,
,ކޮޝި,fortress,,,
,ނަސީބުގަދަ,fortunate,,,
,ނަސީބުރަނގަޅު,fortunate,,,
,ނަސީބު,fortune,,,
,ސާޅީސް,forty,,,
,ފަނަސް,forty-eight,,,
,ކުރިއަށް,forward,,,
,ބިންގާ,foundation,,,
,ތަރަހަ,foundation,,,
,ފެން އަރުވާ ވަޑާން,fountain,,,
,ހަތަރެއް,four,,,
,އަސަރުމާ,four o'clock flower,,,
,ސާދަ,fourteen,,,
,ހަތަރު ވަނަ,fourth,,,
,ހިޔަޅު,fox,,,
,ބަލިކަޝި,fragile,,,
,ބޮކަރު,fragrant aloe wood,,,
,ފްރޭމު,frame,,,
,ފްރޭމުކުރުން,frame,,,
,ގިއުގަންޑު,frame,,,
,ގުލްޗަމްޕާ,frangipani,,,
,ވައި ގުގު,frankincense tree,,,
,މިނިވަން,free,,,
,ހިލޭ,free,,,
,މިނިވަންކަން,freedom,,,
,ގަންޑުކުރުން ގަންޑުވުން,freeze,,,
,ސަންދުބަރަކަ,French marigold,,,
,ގިނަ ގިނައިން,frequently,,,
,ތާޒައަ,fresh,,,
,ހުކުރުދުވަސް,Friday,,,
,ތެލުލިމަސް,fried fish,,,
,ތެލަބަޑި,fried round sweet cake,,,
,ތެލަބަގުޑި,fried round sweet cake,,,
,ރަހުމައްތެރިޔާ,friend,,,
,ރައްޓެއްސެއް,friend,,,
,ރައްޓެހިން,friends,,,
,އެކުވެރިކަން,friendship,,,
,ކުރަންގި,frigate bird,,,
,ރާގޮންޑި,frigate mackerel,,,
,ރާގޮންޑި,frigate tuna,,,
,ބިރުގަތުން,frighten,,,
,ބިރުގެންނެވުން,frighten,,,
,ބޮއް,frog,,,
,ކިބައިން,from,,,
,ފުޝުން ފަރާތުން,from,,,
,ފަރާތުން,from,,,
,ކުރިމަތި,front,,,
,މޭވާ,fruit,,,
,މޭވާ އެޅުން,fruit,,,
,ވައު (އުދުހޭ ޖަނަވާރު),fruitbat,,,
,ވަވަލާ,fruitbat,,,
,ވައުލު,fruitbat,,,
,ތެލުލުން,fry,,,
,ފުރިފައި,full,,,
,މަޖާ,fun,,,
,ޖަނާޒައަ,funeral,,,
,ކަޝުކަމާކެމި,funeral,,,
,ސަމާސާވެރި,funny,,,
,ހެއްވާ,funny,,,
,ކެހެރި,fur,,,
,ކެހެރި ކޮއަޓްއު,fur coat,,,
,ފަރުނީޗަރު,furniture,,,
,މުސްތަބަލުގައި,future,,,
,ކުރިމަގު,future,,,
,މުސްތަގުބަލް,future,,,
,ދާވަނި (މަސް އަޅުވާ),gaff,,,
,މަދަ,gaff,,,
,ފައިދާ,gain,,,
,ނަފާ,gain,,,
,ފައިދާވުން,gain,,,
,ވަކި ރޮއަޅި,gale,,,
,ހިއްވަރުގަދަ,gallant,,,
,ޖުވާކުޅުން,gamble,,,
