wordAR,wordDV,wordEN,meanAR,meanDV,meanEN
أتى,އައެވެ / އަތުވެއްޖެއެވެ / ވަޑައިގަތެވެ,came,,,
قام,ހުންނެވިއެވެ / ގައިމުވެގެން ހުންނެވިއެވެ / ކޮޅަށް ތެދުވިއެވެ,stood,,,
جلس,އިށީންނެވިއެވެ / މަޖްލިސްކުރިއެވެ,sat,,,
قابل / أقبل,ބައްދަލު ކުރެއްވިއެވެ / ބައްދަލުވިއެވެ / ދިމާވިއެވެ / ކުރިމަތިލިއެވެ / ގަބޫލުކުރެއްވިއެވެ / ބަލައިގަތެވެ,accepted,,,
لقي,ބައްދަލުވިއެވެ - ދިމާވިއެވެ / ވަޑައިގަތެވެ,met,,,
وجد,ވިއެވެ / ދިމާވިއެވެ / ބައްދަލުވިއެވެ / ފެނުނެވެ,found,,,
كان,ވިއެވެ / ވެއެވެ,was,,,
أرى,ދެކެމެވެ / ދެކިވަޑައިގަންނަމެވެ,I see,,,
رأى,ފެނުނެވެ / ފެނިވަޑައިފަތެވެ,saw,,,
عن / من,އަރިހުން / ކިބައިން / ފުށުން / ފަރާތުން / _ން,from,,,
لـ / إلى,އަށް / _އް / _ށް,for / to,,,
قد,ގައިމު / ހަމަގައިމު / ފަހަރެއްގައި / ހަމަކަށަވަރުން / ކަށަވަރެވެ,surely - certainly / maybe - perhaps,,,
إنّ / أنّ,ހަމަކަށަވަރުން / ކަށަވަރުން / ކަށަވަރެވެ,indeed / certainly / surely,,,
إذا / إذ,ނަމަ / ހިނދު,when / if,,,
لما,ހިނދު / އިރު,when,,,
ثم,ދެން / އެއަށްފަހު,then / afterwards,,,
فـ,ފަހެ / ދެން / އެއަށްފަހު,then / so,,,
و,އަދި,and,,,
لَحْدٌ,ބަނޑުދުރަ. ބަޑުދުރަލާ ކޮނެފައިވާ ކަށްވަޅު. އާނުކަނޑައި ކޮނެފައި ހުންނަ ވަޅުގެ އާނުގެ ދަށުން ހެދޭ ބާސަލަގަނޑޫ. ބަޅުގެ އެތެރޭގައި ގޮނިހެދިފައި އޮންނަ ތަން.,,,,
أَنَا,(ނ) އަހަރެން / އަހަރުން / އަހުރެން / އަނާ / އަޅުގަނޑު,"The Lahd (niche) refers to a place that is dug at the bottom of one of the sides of the grave in the side that is closest to the Qiblah, in which the deceased is placed on his right side facing the Qiblah, then this hole is filled in with bricks behind the deceased, then the dirt is filled in.",,,
أمل,އުއްމީދު,hope,,,
رجاء,(ގަދަނާޅާ) އެދުން,sincere hope,,,
طلب,(ގަދައަޅައި) އެދުން,demand hope,,,
لعل,ތޯ / ފަހަރެއްގައި,"maybe, perhaps, by chance",,,
عسى,ގާތް / ވެދާނެ,perhaps,,,
تمنى,(ނުވެދާނެކަމަކަށް) އެދުން / ނަމައޭ,wish,,,
,އަކަފޫޓު,square foot / square feet (ft2 or sq. ft.),,,
استسلام,އަމާންދިނުން، ބޯލަނބާ ކިޔަމަންވުން، ދޫކުރުން، ނިކަމެތިވުން، ގަބޫލުކުރުން,"- resignation; surrender; giving up; consistence; obedience; abandonment; abidance; baseness; humiliation; meekness; servility; submission; submissiveness; yielding; with obedience; submission; yielding; giving in; acceptance; act of cringing; following in pursuit of
- submissiveness, submitting orpresenting
- acceptance of another's power; submitting
- action of obeying; being obedient
- obeyance and submissio",,,
,,,,,
إجراءات إدارة الحالة، إجراءات إدارة الدعوى,މައްސަލަ ކުރިއަށް ގެންދަންވީ ގޮތް,Case Management Procedure,,,
جِذْرُ الشَّمَنْدَر؛ شمندر,ރަންގުމޫ,Beetroot,,,
مُعاوَدَة,ދަސްވެރިކަން,Internship,,,
مُعاوِد,ދަސްވާރު,Intern,,,
نَائِب,އިންތިޚާބީ ބައިވެރިޔާ,Running Mate,,,
المحاصيل الزراعية,ޒިރާއީ އުފެއްދުންތައް,Agricultural Produce,,,
القيمة الزراعية المضافة,ޒިރާއީ އަގުއެއްކުރުން,Agricultural Value Addition,,,
اِقتِطاف، جَني، حَصَاد، حَصد، قِطَاف، قَطف,މަތިވަރުކެނޑުން,Harvesting,,,
مساعد وجبة خفيفة,ލުއިކާ އެހީތެރިޔާ,Snack Helper,,,
ركن المهارة,ހުނަރު އަށި / ހުނަރު ދާލަ,Skill Corner,,,
أَشوَس، جَرِيء، جسور، خَطِر، شُجَاع، غِمارِيّ، مُجَازِف، مُخَاطِر، مُغَامِر، مِقحام، مِقدام,އާހިތަވެރި,Adventurous,,,
اِتّفَاقِيّ، أَرجَح، تَصَادُفِيّ، جائِز، شَرطِيّ، طارِئ، طارِئَة، طَوارِئيّ، عابِر، عارِض، عَرَضِيّ، غالِب، فريق، مُحتَمَل، مُرَجّح، مَشرُوط، مصادَفة، مُمكِن,ބަދިލު / އިހުތިމާލު,Contingent,,,
اِبتِكَار، اِختِرَاع، اِستِحداث، إبداع، بَدع، بَدعَة، تَجدِيد، تَقلِيعَة، حَدَث، مُبتَدَع، مُبتَكَر، مُختَرَع، مُستَحدَث,އީޖާދު,Innovation,,,
منطقة تغيير ملابس الأطفال,ތުއްތު ކުދީންގެ ރީތިވެނި,Baby Changing Area,,,
زَقْزَق، سَقْسَق، يُسَقسق، إرسالية قصيرة؛ تغريدة؛ رسالة قصيرة؛ صوت الطائر الصغير,ގޮވެލި,Tweet,,,
عد، كِيوِي، لاجناحيّ، نيوزيلنديّ,ކަނބިލިދޫނި، ކީވީ,Kiwi,,,
مجلس الشيوخ الأكاديمي,ޢުލޫމީ ސެނެޓު,Academic Senate,,,
تقرير الاعتماد,އިތުމާދީ ރިޕޯޓު,Accreditation Report,,,
مؤتمر المجتمع,ވިލީ ސިންތާ,Community Conference,,,
اِجتِمَاع، اِئتِمار، إنعام، تآمُر، تداوُل، تَشَاوُر، مُبَاحَثَة، مُدَاوَلَة، مُذَاكَرَة، مُشَاوَرَة، مَنح، مُؤتَمَر,ސިންތާ,Conference,,,
إجراء الاجتماع؛ إعداد مؤتمر,ސިންތާކުރުން,Conferencing,,,
نائب نائب رئيس الجامعة,ނައިބު ޗާންސެލަރުގެ ވަކީލު,Deputy Vice Chancellor,,,
أَمْباساد؛ سِفَارَة: مَقَرُّ السَّفِير؛ سكن السفير؛ مَقَرّ السّفِير؛ مَنْصِبُ السَّفِير,ސަފާރާ / އެމްބަސީ,Embassy,,,
ذباب الفاكهة؛ ذُبَابَةُ الفاكِهَة؛ ذُبابَةُ الفَواكِه,މޭވާމެހި,Fruit Fly,,,
بازار؛ متجر عام؛ محلات تجارية كبرى؛ مستودع عام,ގުދަން / ފިހާރަ,General Store,,,
جَمعِيّة، قانون، كُلِّيَّة، مبدأ، مَجمع، مَعهَد، مُنشَأَة، مُؤَسَّسة,މައުހަދު,Institute,,,
المجرم الحَدَث؛ حدث مذنب، الحدث الجاني,ޔަވާންގުނާވެރިޔާ,Juvenile Offender,,,
المخزن الطبي,ބޭސް ގުދަން/ ބޭސް ފިހާރަ,Medical Store,,,
خدمة وطنية,ޥަޠަނީ ޚިދުމަތް,National Service,,,
ثقب الباب؛ ثُقْبٌ بِمِقْدارِ عَيْن؛ وصواص ثقب ينظر منه,ދޮރުކަޅި,Peephole,,,
اِحتِفاء، اِستقبال، اِستِلاَم، اِقتِبال، اِلتِقاط، أخذ، تَقَبّل، تَلَقّ، تلَقي، تَنَاوُل، قَبُول، مَأدُبَة، مُقَابَلَة، مُلاَقَاة، وَلِيمَة,އިސްތިޤްބާލު,Reception,,,
العدالة التصالحية,ރުޖޫޢީ އިންސާފު,Restorative Justice,,,
فَزَّاعَة، مِجدار، مَفزَع، نُطّار,ކާމާ/ވާފަހާ/ވާފެއްސި/ދަނޑިމާލި,Scarecrow,,,
إِعَانَة، تَبَرُّع، زِيَادَة، عِلاَوَة، مُسَاعَدَة، مُسَاهَمَة، مِنحَة,ވިނަވި (ނަން),Subsidy,,,
المركز التدريبي؛ مركز التدريب,ތަމްރީނު މަރުކަޒު,Training Centre,,,
إخفاء، تَرشِيح، تَروِيق، تَصفِيَة، تَنقِيَة، حاجِب، حَجب، ساتِر، غَربَلَة، فحص، فَرز، نَخل,ފުރޭނުން,Screening,,,
تِقَانَة، تَقنِيَة، تِكنُولُوجيَا,ފަންނިޔާތު,Technology (Study - Machinery And Devices),,,
فِهرِس، لائِحَة، مَسرَد,ގްލޮސަރީ,Glossary,,,
دِمَاغ، ذكاء، عَقل، فَهم، مُخّ,ސިކުނޑި,Brain,,,
اقتحام، اِقتَحَم، انقضاض، إعصار، ثورة، حاصِب، حاصِبَة، داهَم، زَوبَعَة، عاصِفَة، نَوّ، نَوء، نوبة، نَوئ,ޠޫފާން,Storm,,,
,,,,,
الدبلوم الوطني,ޤައުމީ ޑިޕުލޮމާ,National Diploma,,,
غاز مضغوط غير قابل للاشتعال,ހުޅުނުހިފާ ގޭސް,Non Flammable Compressed Gas,,,
الجملة العصبية؛ الجهاز العصبى؛ الجِهازُ العَصَبِيّ؛ الجهاز أو المجموع العصبي؛ العصبي الجسمي؛ جُمْلَةٌ عَصَبِيّة,ނާރުތަކާ ބެހޭ ނިޒާމު,Nervous System,,,
لجنة وطنية للحد من مخاطر الكوارث، المنبر الوطني للحد من مخاطر الكوارث,ކާރިސީ ހިރާސް ކުޑަކުރުމުގެ ޤައުމީ މަންސަ / ކާރިސީ ރިސްކު ކުޑަކުރުމުގެ ޤައުމީ މަންސަ,National Platform For Disaster Risk Reduction,,,
علم المنعكسات، الانعكاسية,ވިންދުފަރުވާ,Reflexology,,,
