bodyAR,bodyDV
‌«مَنْ ‌عَمِلَ ‌عَمَلًا ‌لَيْسَ ‌عَلَيْهِ ‌أَمْرُنَا فَهُوَ رَدٌّ» [4].,"""އަހަރުމެންގެ ކަންތައް އެ ގޮތަކަށް ނުވާ ގޮތަކަށް ޢަމަލެއްކޮށްފި މީހާ؛ ފަހެ އެ ކަމެއްވަނީ ރައްދުކުރެވިގެންނެވެ."" [4]."
[3] رواه البخاري، برقم (2697) ومسلم، برقم (1718),[3] އެ ޙަދީޘް ރިވާކުރެއްވީ އަލް-ބުޚާރީ، ނަމްބަރު (2697) ގައެވެ. އަދި މުސްލިމް، ނަމްބަރު (1718) ގައެވެ.
[4] رواه مسلم، برقم (1718).,[4] އެޙަދީޘް ރިވާކުރެއްވީ މުސްލިމްއެވެ. އެއީ ނަމްބަރު (1718) ގައެވެ.
***,***
ثانيًا: حكم تعلُّم صفة العمرة وأحكامها,ދެވަނައަށް: ޢުމްރާގެ ޞިފައާއި އޭގެ ޙުކުމްތައް އުނގެނުމުގެ ޙުކުމް
ينبغي لمن أراد أن يتعبد لله تعالى بعبادة أن يتعلَّم هدي النبي صلى الله عليه وسلم فيها؛ ليكون عمله موافقًا للسنة، وقد كان النبي صلى الله عليه وسلم يحث الناس على اتباعه والاهتداء بهديه؛ فعن مالك بن الحويرث رضي الله عنه قال: قال رسول الله صلى الله عليه وسلم:,ﷲ ތަޢާލާއަށް އަޅުކަމެއް އަދާކުރުމަށް ޤަޞްދުކުރާ މީހާ، އޭނާގެ ޢަމަލު ސުންނަތާ އެއްގޮތްވުމަށްޓަކައި، އެ އަޅުކަމެއްގައިވާ ނަބިއްޔާ ﷺ ގެ ހިދާޔަތު އުނގެނެން ޖެހެއެވެ. ހަމަކަށަވަރުން ނަބިއްޔާ ﷺ، އެކަލޭގެފާނަށް ތަބަޢަވުމަށާއި އެކަލޭގެފާނުގެ ހިދާޔަތުން މަގު ލިބިގަތުމަށް މީސްތަކުންނަށް ބާރުއަޅުއްވާފައިވެއެވެ. އެގޮތުން މާލިކު ބްނުލް ޙުވައިރިޘް رضي الله عنه ގެ އަރިހުން ރިވާވެގެންވެއެވެ. އެކަލޭގެފާނު ވިދާޅުވިއެވެ: ﷲ ގެ ރަސޫލާ ﷺ ޙަދީޘްކުރެއްވިއެވެ:
«‌صَلُّوا ‌كَمَا ‌رَأَيْتُمُونِي أُصَلِّي» [5].,“ތިމަންކަލޭގެފާނު ނަމާދުކުރައްވަނިކޮށް ތިޔަބައިމީހުންނަށް ފެނުނު ގޮތަށް ތިޔަބައިމީހުން ނަމާދު ކުރާށެވެ.” [5].
[5] رواه البخاري، برقم (6008).,[5] ރިވާކުރެއްވީ އަލް-ބުޚާރީ، ނަމްބަރު (6008) ގައެވެ.
وعن جابر رضي الله عنه قال:,އަދި ޖާބިރު رضي الله عنه ގެ އަރިހުން ރިވާވެގެންވެއެވެ. ވިދާޅުވިއެވެ:
«رَأَيْتُ النَّبِيَّ صلى الله عليه وسلم يَرْمِي عَلَى رَاحِلَتِهِ يَوْمَ النَّحْرِ وَيَقُولُ: ‌لِتَأْخُذُوا ‌مَنَاسِكَكُمْ، فَإِنِّي لَا أَدْرِي لَعَلِّي لَا أَحُجُّ بَعْدَ حَجَّتِي هَذِهِ» [6].,"""އައް-ނަޙްރުގެ ދުވަހު (އަޟްޙާ ޢީދު ދުވަހު)، ނަބިއްޔާ ﷺ އެކަލޭގެފާނުގެ ސަވާރީކޮޅު މަތީގައި އިންނަވައި ހިލަ އުއްކަވަމުން މިހެން ޙަދީޘްކުރައްވަނިކޮށް ތިމަން ދެކުނީމެވެ: “ތިޔަބައިމީހުންގެ މަނާސިކުތައް (ތިމަންކަލޭގެފާނުގެ ކިބައިން) ނަގާހުށިކަމެވެ. ފަހެ ހަމަކަށަވަރުން، ތިމަންކަލޭގެފާނުގެ މި ޙައްޖަށްފަހު އަނެއްކާ ޙައްޖެއް ކުރެއްވިދާނެކަމެއް ތިމަންކަލޭގެފާނަކަށް އެނގިވަޑައިނުގަނެއެވެ.” [6]."
[6] رواه مسلم، برقم (1297).,[6] އެ ޙަދީޘް ރިވާކުރެއްވީ މުސްލިމް، ނަމްބަރު (1297) ގައެވެ.
***,***
ثالثًا: فضل العمرة,ތިންވަނައަށް: ޢުމްރާގެ މާތްކަން
للعمرة فضلان: عام وخاص,ޢުމްރާގެ ދެ މާތްކަމެއް ވެއެވެ: ޢާއްމު މާތްކަމަކާއި، ޚާއްޞަ މާތްކަމެކެވެ.
فالعام:,އެގޮތުން ޢާއްމު މާތްކަމަކީ:
عن أبي هريرة رضي الله عنه قال: قال رسول الله صلى الله عليه وسلم:,އަބޫ ހުރައިރާ رضي الله عنه ގެ އަރިހުން ރިވާވެގެންވެއެވެ: ވިދާޅުވިއެވެ: ﷲ ގެ ރަސޫލާ ﷺ ޙަދީޘްކުރެއްވިއެވެ:
«‌الْعُمْرَةُ ‌إِلَى ‌الْعُمْرَةِ ‌كَفَّارَةٌ ‌لِمَا ‌بَيْنَهُمَا، وَالْحَجُّ الْمَبْرُورُ لَيْسَ لَهُ جَزَاءٌ إِلَّا الْجَنَّةَ» [7].,"""ޢުމްރާއަކުން އަނެއް ޢުމްރާއަކީ: އެ ދެމެދުގައިވާ ކަންކަމަށް (ފާފަތަކަށް) ވާ ކައްފާރާއެކެވެ. އަދި މަބްރޫރު ޙައްޖެއްގެ ޖަޒާއެއްކަމުގައި ޖަންނަތު މެނުވީ ނުވެއެވެ."" [7]."
[7] رواه البخاري، برقم (1773)، ومسلم، برقم (1349).,[7] އެޙަދީޘް ރިވާކުރެއްވީ އަލް-ބުޚާރީ، ނަމްބަރު (1773) ގައެވެ. އަދި މުސްލިމް، ނަމްބަރު (1349) ގައެވެ.
عن عبد الله بن مسعود رضي الله عنه قال: قال رسول الله صلى الله عليه وسلم:,ޢަބްދު ﷲ ބްނު މަސްޢޫދު رضي الله عنه ގެ އަރިހުން ރިވާވެގެންވެއެވެ. ވިދާޅުވިއެވެ: ﷲ ގެ ރަސޫލާ ﷺ ޙަދީޘްކުރެއްވިއެވެ:
«تَابِعُوا بَيْنَ الْحَجِّ وَالْعُمْرَةِ، فَإِنَّهُمَا ‌يَنْفِيَانِ ‌الْفَقْرَ ‌وَالذُّنُوبَ كَمَا يَنْفِي الْكِيرُ[8] خَبَثَ الْحَدِيدِ وَالذَّهَبِ وَالْفِضَّةِ، وَلَيْسَ لِلْحَجِّ الْمَبْرُورِ ثَوَابٌ إِلا الْجَنَّةُ» [9].,«ޙައްޖާއި ޢުމްރާ ވިދިވިދިގެން ތިޔަބައިމީހުން ކުރާށެވެ. ފަހެ، ހަމަކަށަވަރުން ދަގަނޑާއި، ރަނާއި، އަދި ރިހީގެ ކުނި، ކީރު (ގުންބާ) [8] ފިލުވާލާ ފަދައިން، އެ ދެކަންތައް ފަޤީރުކަމާއި ފާފަތައް ފިލުވާލައެވެ. އަދި މަބްރޫރު ޙައްޖެއްގެ ޘަވާބެއްކަމުގައި ޖަންނަތު މެނުވީ ނުވެއެވެ.» [9].
[8] موضع نار الحداد والصائغ. التمهيد لابن عبد البر (15/ 102),[8] އެއީ ކަނބުރުވެރިޔާއާއި ރަންހަދާ މީހާ އަލިފާން ރޯކުރާތަނެވެ. އައް-ތަމްހީދު ލިބްނި ޢަބްދިލް-ބައްރި (102/15)
[9] رواه الترمذي، برقم (810)، والنسائي، برقم (2631).,[9] ރިވާކުރެއްވީ އައް-ތިރްމިޛީ، ނަމްބަރު (810) ގައާއި، އައް-ނަސާއީ، ނަމްބަރު (2631) ގައެވެ.
والخاص في رمضان: فعن ابن عباس رضي الله عنهما أن النبي صلى الله عليه وسلم قال:,އަދި ޚާއްޞަކޮށްވާ މާތްކަން: ރަމަޟާންމަހާ މެދުގައިވެއެވެ. އެގޮތުން އިބްނު ޢައްބާސް رضي الله عنهما ގެ އަރިހުން ރިވާވެގެންވެއެވެ: ނަބިއްޔާ ﷺ ޙަދީޘްކުރެއްވިއެވެ:
‌«‌عُمْرَةٌ ‌فِي ‌رَمَضَانَ ‌تَقْضِي حَجَّةً مَعِي‌»[10].,«ރަމަޟާންމަހުގެ ޢުމްރާއެއް، ތިމަންކަލޭގެފާނާއެކު ކުރާ ޙައްޖަކާ އެއްވަރެވެ.» [10].
[10] رواه البخاري، برقم (1863)، ومسلم، برقم (1256).,[10] މި ޙަދީޘް ނެރުއްވީ އަލް-ބުޚާރީ، ނަމްބަރު 1863 ގައެވެ. އަދި މުސްލިމް، ނަމްބަރު 1256 ގައެވެ.
***,***
[13] رواه مسلم، برقم: (1218).,[13] އެ ޙަދީޘް ރިވާކުރެއްވީ މުސްލިމް، ނަމްބަރު (1218) ގައެވެ.
صفة العمرة,ޢުމްރާގެ ޞިފަ ނުވަތަ ޢުމްރާކުރާނޭ ގޮތް
أولاً: أحكام المواقيت,ފުރަތަމައަށް: މީޤާތުތަކުގެ ޙުކުމްތައް
المواقيت: هي الأمكنة التي عيَّنها النبي صلى الله عليه وسلم ليُحرِم منها من أراد الحج أو العمرة.,މީޤާތުތަކަކީ: ޙައްޖު ނުވަތަ ޢުމްރާ ކުރަން އެދޭ މީހުން އެތަންތަނުން އިޙްރާމް ބަނުމަށްޓަކައި ނަބިއްޔާ ﷺ ކަނޑައަޅުއްވާފައިވާ ތަންތަނެވެ.
فمن مرَّ بأحدها ناويًا الحج أو العمرة: وجب عليه الإحرام منه، ولم يَجُز له تجاوزه دون إحرام.,ދެންފަހެ ޙައްޖު ނުވަތަ ޢުމްރާއަށް ނިޔަތްގަނެގެން އެ ތަންތަނުން ތަނެއް ހުރަސްކުރާ މީހާ، އެ ތަނުން އިޙްރާމް ބަނުން ވާޖިބުވެގެންވެއެވެ. އަދި އިޙްރާމް ނުބަނދެ އެ ތަން ފަހަނައަޅައި ދިޔުން ހުއްދަވެގެން ނުވެއެވެ.
ومن كان أقرب إلى مكة من هذه المواقيت: فإن ميقاته مكانه؛ فيحرم منه للحج والعمرة.,މި މީޤާތުތަކަށްވުރެ މައްކާއާ ކައިރި މީހާ؛ ފަހެ، އޭނާގެ މީޤާތަކީ އޭނާ އުޅޭތަނެވެ. އަދި އޭނާ ޙައްޖާއި ޢުމްރާއަށް އިޙްރާމް ބަންނާނީ އެ ތަނުންނެވެ.
وأما أهل مكة ومن نوى الإحرام منها: فيحرمون للحج من مكة، وأما العمرة: فإنهم يخرجون إلى الحل ويحرمون منه، كالتنعيم ونحوه.,ދެންފަހެ، މައްކާގެ އަހުލުވެރިންނާއި އެތަނުން އިޙްރާމް ބަނުމަށް ޤަޞްދުކުރާ މީހުން، ޙައްޖަށް އިޙްރާމް ބަންނާނީ މައްކާއިންނެވެ. އަދި ޢުމްރާއަށްނަމަ؛ ފަހެ، އެމީހުން ތަންޢީމް ފަދަ ޙިއްލުގެ ސަރަޙައްދަކަށް ނުކުމެ، އެ ތަނުން އިޙްރާމް ބަންނާނީއެވެ.
ومن كان في طائرة: فإنه يحرم إذا حاذى الميقات، فيتأهب ويلبس ثياب الإحرام قبل محاذاة الميقات، فإذا حاذاه نوى الإحرام في الحال، ولا يجوز له تأخيره إلى أن يهبط في المطار، ويمكن له أن يحتاط فيلبي قبل محاذاة الميقات خشية فوات مكان التلبية؛ لسرعة الطائرة.,މަތިންދާބޯޓުގައިވާ މީހާ އިޙްރާމް ބަންނާނީ މީޤާތާ އެއްހަމަވުމުންނެވެ. އެގޮތުން މީޤާތާ އެއްހަމަވުމުގެ ކުރިން ތައްޔާރުވެ އިޙްރާމުގެ ފޭރާން ލާނީއެވެ. ދެން އެއާ އެއްހަމަވުމުން، ވަޤުތުން އިޙްރާމް ބަނުމަށް ނިޔަތްގަންނާނީއެވެ. އަދި އެއާޕޯޓަށް ޖައްސަންދެން އެކަން ފަސްކުރުން އޭނާއަށް ހުއްދަވެގެން ނުވެއެވެ. އަދި މަތިންދާބޯޓުގެ އަވަސްކަމުން، ތަލްބިޔާ ކިޔާ ތަން ފާއިތުވެދާނެ ކަމަށް ބިރުން، ރައްކާތެރިވުމުގެ ގޮތުން މީޤާތާ އެއްހަމަވުމުގެ ކުރިންވެސް (އިޙްރާމް ބަނދެ) ތަލްބިޔާ ކިޔިދާނެއެވެ.
ثانيًا: صفة الإحرام وأحكامه:,ދެވަނައަށް: އިޙްރާމް ބަނުމުގެ ޞިފައާއި އޭގެ ޙުކުމްތައް:
يُشرع لمريد الإحرام ما يلي:,އިޙްރާމް ބަނުމަށް ޤަޞްދުކުރާ މީހާއަށް އަންނަނިވި ކަންތައް ޝަރުޢުވެގެންވެއެވެ:
1. الاغتسال، وهو سنة مؤكدة في حق الرجال والنساء حتى الحائض والنفساء.,1- ހިނައިގަތުން. އެއީ ޙައިޟުވެރިޔާއާއި ނިފާސްވެރިޔާވެސް ހިމެނޭގޮތަށް ފިރިހެނުންނާއި އަންހެނުންގެ ޙައްޤުގައި ގަދަވެގެންވާ ސުންނަތެކެވެ.
2. التطيب بأطيب ما يجد من دهن عود أو غيره في رأسه ولحيته، ولا يضره بقاء ذلك بعد الإحرام. وأما المرأة فلا يجوز لها التطيب بما له رائحة؛ لئلا يشمها الرجال الأجانب.,2- ޢޫދު ތެޔޮ ނުވަތަ އެ ނޫންވެސް ލިބެންހުރި އެންމެ މޮޅު މީރުވަސްދުވާ ހުވަނދެއް ބޮލުގައްޔާއި ތުނބުޅީގައި ލުން. އިޙްރާމްގެ ނިޔަތް ގަތުމަށްފަހު އޭގެ އަޘަރު ހުރުމަކުން ގެއްލުމެއް ނުވާނެއެވެ. ދެންފަހެ އަންހެނާ ދަންނައެވެ! ވަސް ދުރަށް ދުވާ ގޮތަށް ހުންނަ އެއްޗެއްލުން އެކަނބުލޭގެއަށް ހުއްދަވެގެން ނުވެއެވެ. އެއީ ހިލޭ ފިރިހެނުންނަށް އޭގެ ވަސްދުވިޔަ ނުދިނުމަށެވެ.
3. لبس ثياب الإحرام، وهي إزار ورداء، والسنة أن يكونا أبيضين نظيفين أو جديدين.وتحرم المرأة فيما شاءت من اللباس غير متبرجة بزينة، إلا أنها تجتنب لبس النقاب والقفازين، وتغطي وجهها ويديها بغير ذلك.,3- އިޙްރާމުގެ ހެދުންކަމުގައިވާ އިޒާރަކާއި ރިދާއެއް ލުން. އަދި ސުންނަތްވެގެންވަނީ އެ ދޭތި ސާފުތާހިރު ހުދުކުލައިގެ، ނުވަތަ އައު ދެއެތި ކަމުގައިވުމެވެ. އަންހެނާ އިޙްރާމް ބަންނާނީ ޒީނަތްތެރިވެގެން ނުވާ ޙާލު، އޭނާ ބޭނުންވާ ހެދުމެއްގައެވެ. އެކަމަކު އޭނާ ނިޤާބާއި އަންގި ލުމުން ދުރުހެލިވެ، އެނޫން އެއްޗަކުން އޭނާގެ މޫނާއި ދެ އަތްތިލަ ނިވާކުރާނީއެވެ.
4. ويسن الإحرام عقب صلاة فريضة كانت أو نافلة.,4- ފަރުޟު ނަމާދެއް ނުވަތަ ސުންނަތް ނަމާދެއްގެ ފަހުން އިޙްރާމް ބަނުން ސުންނަތް ވެގެންވެއެވެ.
فيقول: (لَبَّيْكَ اللَّهُمَّ عُمرَة)، وإذا كان معتمرًا عن غيره فيقول: (لَبَّيْكَ اللَّهُمَّ عُمرَةً عَن فُلان).,"އެގޮތުން އޭނާ ކިޔާނީއެވެ: ""لَبَّيْكَ اللَّهُمَّ عُمرَة"" އެވެ. އަދި އޭނާ އެހެން މީހެއްގެ ފަރާތުން ޢުމްރާވާނަމަ، ފަހެ އޭނާ ކިޔާނީއެވެ: ""لَبَّيْكَ اللَّهُمَّ عُمرَةً عَن..."" މިވެނިއެވެނި މީހެކެވެ. (މިތަނުގައި އެ މީހަކު ނަންގެންނާނީއެވެ.)"
